,Weight
sti1,34
sti10,34
sti100,19
sti101,10
sti102,12
sti103,54
sti104,13
sti105,22
sti106,23
sti107,17
sti108,17
sti109,13
sti11,32
sti110,15
sti111,15
sti112,23
sti113,30
sti114,11
sti115,34
sti116,22
sti117,19
sti118,21
sti119,27
sti12,12
sti120,20
sti121,15
sti122,6
sti123,31
sti124,34
sti125,17
sti126,29
sti127,30
sti128,33
sti129,19
sti13,8
sti130,38
sti131,22
sti132,6
sti133,47
sti134,18
sti135,21
sti136,19
sti137,9
sti138,28
sti139,17
sti14,33
sti140,26
sti141,16
sti142,20
sti143,13
sti144,48
sti145,20
sti146,12
sti147,20
sti148,13
sti149,21
sti15,22
sti150,15
sti151,21
sti152,34
sti153,37
sti154,11
sti155,6
sti156,37
sti157,20
sti158,9
sti159,9
sti16,22
sti160,22
sti161,33
sti162,14
sti163,39
sti164,15
sti165,15
sti166,27
sti167,12
sti168,10
sti169,23
sti17,33
sti170,25
sti171,25
sti172,60
sti173,13
sti174,17
sti175,17
sti176,10
sti177,25
sti178,14
sti179,25
sti18,7
sti180,26
sti181,21
sti182,20
sti183,51
sti184,12
sti185,23
sti186,23
sti187,18
sti188,23
sti189,26
sti19,25
sti190,23
sti191,25
sti192,18
sti193,16
sti194,23
sti195,14
sti196,18
sti197,14
sti198,26
sti199,17
sti2,19
sti20,24
sti200,21
sti201,16
sti202,22
sti203,37
sti204,13
sti205,13
sti206,19
sti207,16
sti208,8
sti209,14
sti21,15
sti210,23
sti211,20
sti212,8
sti213,17
sti214,22
sti215,16
sti216,24
sti217,34
sti218,24
sti219,10
sti22,15
sti220,15
sti221,15
sti222,22
sti223,10
sti224,15
sti225,25
sti226,7
sti227,16
sti228,10
sti229,25
sti23,10
sti230,25
sti231,11
sti232,25
sti233,28
sti234,8
sti235,35
sti236,14
sti237,15
sti238,24
sti239,28
sti24,34
sti240,12
sti241,19
sti242,8
sti243,20
sti244,13
sti245,14
sti246,30
sti247,16
sti248,8
sti249,17
sti25,17
sti250,8
sti251,31
sti252,12
sti253,11
sti254,25
sti255,25
sti256,24
sti257,13
sti258,11
sti259,19
sti26,36
sti260,33
sti261,11
sti262,12
sti263,24
sti264,9
sti265,12
sti266,17
sti267,13
sti268,12
sti269,11
sti27,34
sti270,12
sti271,6
sti272,15
sti273,9
sti274,28
sti275,39
sti276,18
sti277,30
sti278,20
sti279,19
sti28,20
sti280,20
sti281,22
sti282,13
sti283,23
sti284,42
sti285,22
sti286,23
sti287,20
sti288,13
sti289,6
sti29,27
sti290,13
sti291,7
sti292,16
sti293,26
sti294,21
sti295,9
sti296,17
sti297,22
sti298,24
sti299,17
sti3,42
sti30,16
sti300,21
sti301,46
sti302,24
sti303,16
sti304,17
sti305,19
sti306,19
sti307,10
sti308,13
sti309,25
sti31,35
sti310,26
sti311,25
sti312,10
sti313,15
sti314,44
sti315,23
sti316,17
sti317,16
sti318,14
sti319,13
sti32,17
sti320,27
sti321,19
sti322,20
sti323,21
sti324,25
sti325,16
sti326,8
sti327,25
sti328,24
sti329,14
sti33,23
sti330,31
sti331,13
sti332,17
sti333,14
sti334,16
sti335,9
sti336,16
sti337,20
sti338,7
sti339,14
sti34,26
sti340,9
sti341,22
sti342,28
sti343,11
sti344,24
sti345,18
sti346,23
sti347,15
sti348,6
sti349,18
sti35,14
sti350,18
sti351,24
sti352,8
sti353,16
sti354,19
sti355,11
sti356,17
sti357,10
sti358,29
sti359,22
sti36,32
sti360,14
sti361,2
sti362,11
sti363,13
sti364,6
sti365,16
sti366,12
sti367,13
sti368,29
sti369,9
sti37,8
sti370,20
sti371,14
sti372,10
sti373,38
sti374,30
sti375,3
sti376,18
sti377,8
sti378,11
sti379,19
sti38,27
sti380,11
sti381,16
sti382,31
sti383,9
sti384,13
sti385,5
sti386,11
sti387,17
sti388,14
sti389,19
sti39,15
sti390,15
sti391,24
sti392,10
sti393,13
sti394,14
sti395,13
sti396,8
sti397,16
sti398,9
sti399,11
sti4,16
sti40,14
sti400,15
sti401,7
sti402,7
sti403,20
sti404,6
sti405,11
sti41,6
sti42,42
sti43,13
sti44,14
sti45,11
sti46,16
sti47,21
sti48,29
sti49,15
sti5,29
sti50,10
sti51,25
sti52,17
sti53,23
sti54,43
sti55,13
sti56,13
sti57,16
sti58,33
sti59,31
sti6,44
sti60,19
sti61,19
sti62,14
sti63,26
sti64,11
sti65,14
sti66,13
sti67,30
sti68,22
sti69,17
sti7,12
sti70,18
sti71,17
sti72,26
sti73,11
sti74,17
sti75,28
sti76,17
sti77,21
sti78,25
sti79,35
sti8,22
sti80,27
sti81,14
sti82,10
sti83,14
sti84,16
sti85,28
sti86,23
sti87,15
sti88,24
sti89,18
sti9,24
sti90,28
sti91,21
sti92,20
sti93,17
sti94,25
sti95,25
sti96,35
sti97,29
sti98,6
sti99,15
stn1,9
stn10,11
stn11,19
stn12,28
stn13,22
stn14,15
stn15,34
stn16,21
stn17,38
stn18,18
stn19,20
stn2,40
stn20,18
stn21,30
stn22,47
stn23,16
stn24,8
stn25,13
stn26,23
stn27,6
stn28,29
stn29,16
stn3,18
stn30,21
stn31,13
stn32,5
stn33,4
stn34,9
stn35,13
stn36,14
stn37,21
stn38,24
stn39,10
stn4,11
stn40,11
stn5,16
stn6,39
stn7,29
stn8,23
stn9,8
stp1,26
stp2,15
stp3,31
stp4,3
stp5,20
stp6,9
