,Weight
sti1,148
sti10,20
sti100,25
sti101,23
sti102,145
sti103,22
sti104,13
sti105,23
sti106,26
sti107,145
sti108,16
sti109,37
sti11,89
sti110,141
sti111,14
sti112,24
sti113,24
sti114,20
sti115,12
sti116,147
sti117,105
sti118,27
sti119,13
sti12,24
sti120,23
sti121,17
sti122,24
sti123,18
sti124,39
sti125,21
sti126,20
sti127,20
sti128,12
sti129,10
sti13,112
sti130,16
sti131,35
sti132,16
sti133,24
sti134,22
sti135,23
sti136,20
sti137,25
sti138,19
sti139,155
sti14,17
sti140,15
sti141,21
sti142,14
sti143,21
sti144,14
sti145,15
sti146,21
sti147,133
sti148,89
sti149,4
sti15,18
sti150,23
sti151,19
sti152,33
sti153,23
sti154,99
sti155,15
sti156,21
sti157,10
sti158,12
sti159,19
sti16,86
sti160,28
sti161,20
sti162,25
sti163,22
sti164,16
sti165,29
sti166,18
sti167,30
sti168,103
sti169,21
sti17,119
sti170,39
sti171,23
sti172,21
sti173,14
sti174,22
sti175,23
sti176,20
sti177,13
sti178,119
sti179,10
sti18,10
sti180,8
sti181,18
sti182,110
sti183,18
sti184,24
sti185,26
sti186,135
sti187,19
sti188,15
sti189,35
sti19,10
sti190,13
sti191,15
sti192,33
sti193,21
sti194,26
sti195,16
sti196,22
sti197,15
sti198,23
sti199,19
sti2,118
sti20,35
sti200,19
sti201,20
sti202,24
sti203,13
sti204,22
sti205,18
sti206,19
sti207,4
sti208,21
sti209,16
sti21,7
sti210,14
sti211,113
sti212,20
sti213,101
sti214,18
sti215,18
sti216,16
sti217,13
sti218,25
sti219,21
sti22,152
sti220,14
sti221,17
sti222,8
sti223,24
sti224,24
sti225,11
sti226,16
sti227,16
sti228,24
sti229,125
sti23,21
sti230,16
sti231,8
sti232,105
sti233,9
sti234,26
sti235,6
sti236,15
sti237,25
sti238,21
sti239,19
sti24,13
sti240,19
sti241,17
sti242,14
sti243,17
sti244,18
sti245,14
sti246,13
sti247,20
sti248,18
sti249,19
sti25,16
sti250,18
sti26,31
sti27,21
sti28,7
sti29,15
sti3,16
sti30,22
sti31,28
sti32,20
sti33,131
sti34,89
sti35,12
sti36,15
sti37,20
sti38,134
sti39,15
sti4,19
sti40,21
sti41,15
sti42,121
sti43,21
sti44,16
sti45,17
sti46,9
sti47,20
sti48,19
sti49,25
sti5,149
sti50,115
sti51,23
sti52,173
sti53,28
sti54,17
sti55,34
sti56,28
sti57,117
sti58,21
sti59,32
sti6,12
sti60,11
sti61,24
sti62,87
sti63,28
sti64,20
sti65,22
sti66,152
sti67,27
sti68,17
sti69,24
sti7,11
sti70,16
sti71,18
sti72,18
sti73,28
sti74,19
sti75,29
sti76,19
sti77,16
sti78,14
sti79,135
sti8,24
sti80,122
sti81,31
sti82,20
sti83,13
sti84,27
sti85,22
sti86,15
sti87,20
sti88,29
sti89,24
sti9,7
sti90,25
sti91,25
sti92,161
sti93,22
sti94,18
sti95,20
sti96,14
sti97,30
sti98,10
sti99,19
