;;;101_CT_1;101_CT_2;101_STEAM_3;101_STEAM_4;102_CT_1;102_CT_2;102_STEAM_3;102_STEAM_4;107_CC_1;113_CT_1;113_CT_2;113_CT_3;113_CT_4;115_STEAM_1;115_STEAM_2;115_STEAM_3;116_STEAM_1;118_CC_1;123_STEAM_2;123_STEAM_3;123_CT_1;123_CT_4;123_CT_5;114_SYNC_COND_1;121_NUCLEAR_1;122_HYDRO_1;122_HYDRO_2;122_HYDRO_3;122_HYDRO_4;122_HYDRO_5;122_HYDRO_6;113_PV_1;102_PV_1;101_PV_1;102_PV_2;104_PV_1;101_PV_2;101_PV_3;101_PV_4;103_PV_1;119_PV_1;118_RTPV_1;118_RTPV_2;118_RTPV_3;118_RTPV_4;118_RTPV_5;118_RTPV_6;118_RTPV_7;118_RTPV_8;118_RTPV_9;118_RTPV_10;122_WIND_1;109_BATTERY_1;110_BATTERY_1;111_BATTERY_1;112_BATTERY_1;121_BATTERY_1;107_BATTERY_1;113_BATTERY_1;123_BATTERY_1
2030;sc01;01-01 00:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.004593954;0;0.002076843;0.004593954;0.004593954;0.004593954;0;0;0;0;0;0;0;0;0;0;0;0;0.713941796;;;;;;;;
2030;sc01;01-01 01:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.004593954;0;0.002076843;0.004593954;0.004593954;0.004593954;0;0;0;0;0;0;0;0;0;0;0;0;0.759957895;;;;;;;;
2030;sc01;01-01 02:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.003408417;0;0;0.003408417;0.003408417;0.003408417;0;0;0;0;0;0;0;0;0;0;0;0;0.717998762;;;;;;;;
2030;sc01;01-01 03:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.002222881;0;0.002076843;0.002222881;0.002222881;0.002222881;0;0;0;0;0;0;0;0;0;0;0;0;0.707571517;;;;;;;;
2030;sc01;01-01 04:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.002222881;0;0.002076843;0.002222881;0.002222881;0.002222881;0;0;0;0;0;0;0;0;0;0;0;0;0.686925077;;;;;;;;
2030;sc01;01-01 05:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.002222881;0;0.002076843;0.002222881;0.002222881;0.002222881;0;0;0;0;0;0;0;0;0;0;0;0;0.667819195;;;;;;;;
2030;sc01;01-01 06:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.002222881;0;0.002076843;0.002222881;0.002222881;0.002222881;0;0;0;0;0;0;0;0;0;0;0;0;0.737463777;;;;;;;;
2030;sc01;01-01 07:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.002222881;0;0.021806854;0.002222881;0.002222881;0.002222881;0;0.00152189;0;0;0;0;0;0;0;0;0;0;0.738345511;;;;;;;;
2030;sc01;01-01 08:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.01968093;0.00577949;0.01968093;0.103322949;0.00577949;0.00577949;0.00577949;0.01968093;0.002855019;0;0;0;0;0;0;0;0;0;0;0.726189474;;;;;;;;
2030;sc01;01-01 09:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.004638075;0.074996273;0.115145228;0.074996273;0.151609553;0.115145228;0.115145228;0.115145228;0.074996273;0.010576549;0.004638075;0.004638075;0.004638075;0.004638075;0.004638075;0.004638075;0.004638075;0.004638075;0.004638075;0.004638075;0.794231579;;;;;;;;
2030;sc01;01-01 10:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.024360972;0.159087521;0.308832247;0.159087521;0.221703011;0.308832247;0.308832247;0.308832247;0.159087521;0.023565707;0.024360972;0.024360972;0.024360972;0.024360972;0.024360972;0.024360972;0.024360972;0.024360972;0.024360972;0.024360972;0.775673065;;;;;;;;
2030;sc01;01-01 11:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.046524767;0.217086626;0.465619443;0.217086626;0.259086189;0.465619443;0.465619443;0.465619443;0.217086626;0.038489671;0.046524767;0.046524767;0.046524767;0.046524767;0.046524767;0.046524767;0.046524767;0.046524767;0.046524767;0.046524767;0.732170898;;;;;;;;
2030;sc01;01-01 12:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.044593467;0.242731475;0.565204505;0.242731475;0.254413292;0.565204505;0.565204505;0.565204505;0.242731475;0.060704553;0.044593467;0.044593467;0.044593467;0.044593467;0.044593467;0.044593467;0.044593467;0.044593467;0.044593467;0.044593467;0.72814613;;;;;;;;
2030;sc01;01-01 13:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.033086905;0.260474132;0.573947836;0.260474132;0.304257529;0.573947836;0.573947836;0.573947836;0.260474132;0.048387858;0.033086905;0.033086905;0.033086905;0.033086905;0.033086905;0.033086905;0.033086905;0.033086905;0.033086905;0.033086905;0.784054489;;;;;;;;
2030;sc01;01-01 14:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.025863915;0.219770389;0.566241849;0.219770389;0.145379024;0.566241849;0.566241849;0.566241849;0.219770389;0.023783962;0.025863915;0.025863915;0.025863915;0.025863915;0.025863915;0.025863915;0.025863915;0.025863915;0.025863915;0.025863915;0.851710217;;;;;;;;
2030;sc01;01-01 15:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.019985081;0.134784553;0.533935981;0.134784553;0.052959502;0.533935981;0.533935981;0.533935981;0.134784553;0.007102155;0.019985081;0.019985081;0.019985081;0.019985081;0.019985081;0.019985081;0.019985081;0.019985081;0.019985081;0.019985081;0.81301548;;;;;;;;
2030;sc01;01-01 16:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.003367774;0.048307738;0.415085951;0.048307738;0.00674974;0.415085951;0.415085951;0.415085951;0.048307738;0.001557283;0.003367774;0.003367774;0.003367774;0.003367774;0.003367774;0.003367774;0.003367774;0.003367774;0.003367774;0.003367774;0.799980186;;;;;;;;
2030;sc01;01-01 17:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.015953481;0.168642561;0.015953481;0;0.168642561;0.168642561;0.168642561;0.015953481;0;0;0;0;0;0;0;0;0;0;0;0.863544272;;;;;;;;
2030;sc01;01-01 18:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.030527564;0;0.004153686;0.030527564;0.030527564;0.030527564;0;0;0;0;0;0;0;0;0;0;0;0;0.885414241;;;;;;;;
2030;sc01;01-01 19:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.009632484;0;0;0.009632484;0.009632484;0.009632484;0;0;0;0;0;0;0;0;0;0;0;0;0.856319505;;;;;;;;
2030;sc01;01-01 20:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.005186722;0;0.003634476;0.005186722;0.005186722;0.005186722;0;0;0;0;0;0;0;0;0;0;0;0;0.834350464;;;;;;;;
2030;sc01;01-01 21:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.004742146;0;0;0.004742146;0.004742146;0.004742146;0;0;0;0;0;0;0;0;0;0;0;0;0.771972755;;;;;;;;
2030;sc01;01-01 22:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.004742146;0;0.002076843;0.004742146;0.004742146;0.004742146;0;0;0;0;0;0;0;0;0;0;0;0;0.722756656;;;;;;;;
2030;sc01;01-01 23:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.004593954;0;0.001038422;0.004593954;0.004593954;0.004593954;0;0;0;0;0;0;0;0;0;0;0;0;0.685146749;;;;;;;;
2030;sc01;01-02 00:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.004593954;0;0.000519211;0.004593954;0.004593954;0.004593954;0;0;0;0;0;0;0;0;0;0;0;0;0.632990712;;;;;;;;
2030;sc01;01-02 01:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.003408417;0;0.000519211;0.003408417;0.003408417;0.003408417;0;0;0;0;0;0;0;0;0;0;0;0;0.618808669;;;;;;;;
2030;sc01;01-02 02:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.002222881;0;0;0.002222881;0.002222881;0.002222881;0;0;0;0;0;0;0;0;0;0;0;0;0.607086068;;;;;;;;
2030;sc01;01-02 03:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.002222881;0;0;0.002222881;0.002222881;0.002222881;0;0;0;0;0;0;0;0;0;0;0;0;0.588797523;;;;;;;;
2030;sc01;01-02 04:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.002222881;0;0;0.002222881;0.002222881;0.002222881;0;0;0;0;0;0;0;0;0;0;0;0;0.565354799;;;;;;;;
2030;sc01;01-02 05:00:00+01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0.002222881;0;0;0.002222881;0.002222881;0.002222881;0;0;0;0;0;0;0;0;0;0;0;0;0.629042724;;;;;;;;
