;;;N_101;N_102;N_103;N_104;N_105;N_106;N_107;N_108;N_109;N_110;N_111;N_112;N_113;N_114;N_115;N_116;N_117;N_118;N_119;N_120;N_121;N_122;N_123;N_124
2030;sc01;01-01 00:00:00+01:00;29.3458302;50.93052396;129.6218482;22.98886272;24.74417344;24.49551746;64.4674695;50.65277389;83.01620198;63.91185957;0;0;92.31298241;129.8385416;181.6166576;47.6271186;0;96.12262349;44.36421912;28.8071415;0;0;0;0
2030;sc01;01-01 01:00:00+01:00;26.04071668;47.61617315;125.712929;21.89301307;20.74200539;21.56196686;59.66963388;42.72101465;76.8180105;53.92194425;0;0;76.28280699;110.640625;180.4523698;46.5204387;0;92.92205327;37.67102411;24.59959091;0;0;0;0
2030;sc01;01-01 02:00:00+01:00;19.62352321;43.4179954;122.041672;19.11183193;16.5474255;16.94365656;50.78763663;37.69802183;72.1363979;46.80314652;0;0;58.98807012;98.7682291;181.4035515;45.4137587;0;83.74239545;29.15885511;20.2492096;0;0;0;0
2030;sc01;01-01 03:00:00+01:00;14.19974712;41.09794989;114.9618373;16.46416883;13.12249321;11.97435474;41.831028;28.99559294;68.93839488;42.673457;0;0;49.54105252;98.7682291;180.6849965;44.1326022;0;74.38688199;24.64636528;16.62785946;0;0;0;0
2030;sc01;01-01 04:00:00+01:00;10.64981034;40.21412304;110.4462538;14.38654779;11.35230353;9.033414848;36.01458488;21.56851985;67.19103248;40.86425987;0;0;42.58596481;97.2526041;180.324506;44.4267198;0;65.45342206;22.31384362;16.39873536;0;0;0;0
2030;sc01;01-01 05:00:00+01:00;9.383321016;39.33029609;109.6248596;14.67360593;11.66016258;9.19597932;33.42589475;16.12609173;66.4986812;40.23497381;0;0;41.87929832;99.0208334;181.6633216;45.4785643;0;66.43821295;21.20961131;15.76492467;0;0;0;0
2030;sc01;01-01 06:00:00+01:00;10.23549415;39.44077453;110.2440325;16.31307341;13.12249321;12.43618585;33.863831;13.61630045;68.41088923;39.76300926;0;0;45.56140363;103.5677084;185.2752703;46.4057827;0;74.49239537;22.3053683;14.41696115;0;0;0;0
2030;sc01;01-01 07:00:00+01:00;12.36357292;41.98177673;110.8527815;18.88833165;12.89159894;14.10986142;36.88396963;12.9070116;75.03767898;39.92033078;0;0;45.37543855;92.7057291;188.5594169;48.6739781;0;82.54657779;20.73475456;16.20829453;0;0;0;0
2030;sc01;01-01 08:00:00+01:00;12.04341955;46.40091117;110.3441008;25.68890871;16.77831977;15.46210275;47.00516438;9.739081845;83.34589305;43.57805576;0;0;45.82175447;88.1588541;192.3694564;49.9551346;0;91.76140674;19.57058192;17.73777203;0;0;0;0
2030;sc01;01-01 09:00:00+01:00;15.15079123;51.0410023;112.2224668;33.83013792;22.70460706;19.68139096;58.15145463;8.231843043;88.5550113;46.09519961;0;0;49.42947374;95.9895834;195.6057839;52.0887338;0;102.3830798;24.88403928;25.95648128;0;0;0;0
2030;sc01;01-01 10:00:00+01:00;22.99925891;55.01822327;116.0730128;40.24284887;26.86070459;24.68394465;65.32387825;19.09282887;90.33534283;48.8089955;0;0;63.41403519;97.5052084;200.617881;53.6739781;0;115.5370723;32.95869146;33.44020826;0;0;0;0
2030;sc01;01-01 11:00:00+01:00;28.90797336;54.90774492;120.3363409;41.27583907;29.24661245;27.83178487;66.08621188;32.28628411;88.5550113;50.30354979;0;0;79.59298241;96.4947916;203.4196798;54.8454636;0;130.3441064;40.39475591;42.23619123;0;0;0;0
2030;sc01;01-01 12:00:00+01:00;31.49744972;53.80296129;125.892218;37.60379989;27.97669374;30.14094002;64.4544935;44.38170543;85.55482285;49.51694241;0;0;83.6470176;100.03125;204.8663765;55.887338;0;138.6093156;47.10698941;47.5090199;0;0;0;0
2030;sc01;01-01 13:00:00+01:00;33.76677272;51.48291568;125.1458752;29.68409197;24.39783196;25.69997277;61.067786;50.04578631;82.95026373;48.92698668;0;0;91.60631592;101.0416666;204.317498;56.221336;0;142.7243345;52.93055545;46.23247168;0;0;0;0
2030;sc01;01-01 14:00:00+01:00;33.31479143;51.37243733;120.8679538;29.51995901;21.93495932;22.44129309;57.869229;41.1967256;84.82950263;52.19140778;0;0;85.3578947;114.1770834;208.852792;58.9780658;0;141.9153992;54.06746025;45.5272457;0;0;0;0
2030;sc01;01-01 15:00:00+01:00;27.4908235;52.69817765;118.2453296;30.12888074;21.55013549;24.1740831;58.02818363;32.90009169;92.44536543;61.43404605;0;0;82.2708771;114.6822916;213.4467623;61.779661;0;146.2062737;54.60262603;46.21461786;0;0;0;0
2030;sc01;01-01 16:00:00+01:00;25.12733767;60.10022777;118.0848033;30.8540925;27.28401085;29.41309427;67.48112013;31.03479838;107.6441221;83.85235989;0;0;77.88210531;116.1979166;215.4456873;65.4536391;0;159.1492395;68.05043045;51.57076442;0;0;0;0
2030;sc01;01-01 17:00:00+01:00;27.14712937;64.85079724;123.9158686;37.8290462;35.55772357;42.50692743;76.998936;33.2513262;113.347777;88.41468344;0;0;98.71017542;107.8619791;215.1730961;66.5254237;0;194.3906844;71.93182522;60.99460672;0;0;0;0
2030;sc01;01-01 18:00:00+01:00;39.53895109;66.28701591;130.6934132;38.90394274;37.02005419;47.04765014;78.08242288;52.63059871;112.9521477;87.58874553;0;0;103.3221053;106.8515625;213.5906809;65.5882353;0;189.853612;72.95744688;62.7145248;0;0;0;0
2030;sc01;01-01 19:00:00+01:00;46.615284;65.73462419;132.8844929;38.54680794;38.21300812;49.70040753;78.07593488;74.65947432;109.9849284;84.16700292;0;0;93.57754386;117.4609375;210.1204566;63.220339;0;180.2870721;73.09059355;61.06007066;0;0;0;0
2030;sc01;01-01 20:00:00+01:00;51.72361477;65.07175403;130.0054435;36.48839397;37.67425473;47.51317583;77.4076765;82.08995733;106.4902034;76.06494558;0;0;89.52350867;117.9661459;208.3099196;61.7198405;0;167.3792775;68.47038267;54.49581555;0;0;0;0
2030;sc01;01-01 21:00:00+01:00;53.30084137;61.97835991;125.4189782;32.62498273;38.09756099;42.68796519;73.14834038;84.83845179;103.2262623;66.11436059;0;0;83.98175447;103.3151041;203.6442211;59.7557328;0;148.0703421;59.93315657;48.80937331;0;0;0;0
2030;sc01;01-01 22:00:00+01:00;49.19534417;57.55922547;127.1347331;29.88791957;34.44173442;35.27280632;67.7925415;80.12918275;95.44555388;56.39975796;0;0;95.17684218;90.6848959;199.0800509;58.334995;0;129.0779468;52.25450488;46.31281382;0;0;0;0
2030;sc01;01-01 23:00:00+01:00;39.72727674;51.37243733;128.7608436;23.04846284;26.93766937;25.45612599;65.703423;71.16077055;84.73059525;46.52783382;0;0;96.99929832;98.0104166;193.3175194;56.2911266;0;104.4581749;39.224933;38.08220198;0;0;0;0
2030;sc01;01-02 00:00:00+01:00;28.27237457;44.74373572;123.6385958;17.59773413;19.12574527;17.12469432;57.4572445;52.75336012;77.57629985;39.64501808;0;0;79.51859638;87.6536459;189.1188062;54.6610169;0;88.06844107;29.03430665;32.80044634;0;0;0;0
2030;sc01;01-02 01:00:00+01:00;19.58115006;40.65603641;118.816553;16.78184188;14.16151765;11.31670742;47.93618463;37.10126432;74.04860593;35.16135539;0;0;64.52982458;81.3385416;186.2929826;54.3120638;0;76.49714828;25.40250021;28.32211264;0;0;0;0
2030;sc01;01-02 02:00:00+01:00;13.95492397;38.77790437;116.1480641;14.40505645;11.12140919;8.445965704;40.7021255;26.53354212;73.48813115;33.70613142;0;0;52.03298241;77.0442709;184.9790008;53.4795613;0;71.08079838;22.58603251;26.84917235;0;0;0;0
2030;sc01;01-02 03:00:00+01:00;11.71384978;38.00455577;111.4761238;13.01562993;10.00542004;7.123281656;35.411206;19.51567425;75.00470985;33.70613142;0;0;47.71859638;105.3359375;186.5156757;54.0877368;0;68.9353613;23.67098054;25.70652774;0;0;0;0
2030;sc01;01-02 04:00:00+01:00;11.18183011;39.21981775;110.7068485;13.8365277;11.42926831;8.394240688;32.36187163;16.03402071;78.96100223;35.98729329;0;0;48.98315783;116.1979166;188.4627392;55.9322034;0;72.27661604;29.13772861;30.68476851;0;0;0;0
2030;sc01;01-02 05:00:00+01:00;15.31557612;41.53986336;115.4142297;17.43162226;16.12411924;14.70100514;33.8054395;15.55320462;90.10455913;40.74626868;0;0;64.97614023;99.7786459;194.1865771;59.2023928;0;89.93250947;43.20188871;39.18318771;0;0;0;0
2030;sc01;01-02 06:00:00+01:00;28.39949435;46.73234621;123.6427654;23.17196995;27.59186991;28.88845428;37.3640775;19.03144825;106.325358;50.93283585;0;0;92.61052626;83.6119791;208.5723465;65.5882353;0;131.8212928;81.46863323;56.63827418;0;0;0;0
