,Weight
sti1,362
sti10,53
sti11,383
sti12,21
sti13,36
sti14,242
sti15,18
sti16,24
sti17,41
sti18,53
sti19,34
sti2,321
sti20,50
sti21,381
sti22,27
sti23,36
sti24,9
sti25,44
sti26,244
sti27,24
sti28,23
sti29,30
sti3,28
sti30,45
sti31,359
sti32,29
sti33,325
sti34,49
sti35,42
sti36,317
sti37,328
sti38,29
sti39,8
sti4,39
sti40,40
sti41,36
sti42,46
sti43,304
sti44,334
sti45,386
sti46,44
sti47,61
sti48,67
sti49,20
sti5,56
sti50,31
sti51,66
sti52,44
sti53,23
sti54,41
sti55,47
sti56,34
sti57,41
sti58,36
sti59,22
sti6,252
sti60,37
sti61,14
sti62,272
sti63,254
sti64,38
sti65,38
sti66,12
sti67,346
sti68,261
sti69,63
sti7,30
sti70,295
sti71,63
sti72,349
sti73,32
sti74,52
sti75,38
sti76,43
sti77,10
sti78,41
sti79,54
sti8,16
sti80,15
sti9,278
