,Network_Line_In_N_101_N_102_cac1,Network_Line_In_N_103_N_124_cac1,Network_Line_In_N_106_N_108_cac1,Network_Line_In_N_109_N_111_cac1,Network_Line_In_N_115_N_116_cac1,Network_Line_In_N_116_N_117_cac1,Network_Line_In_N_117_N_118_cac1,Network_Line_In_N_118_N_121_cac1
0,-3.12815E-05,-7.82875E-05,8.6974E-05,4.00205E-05,-0.000191439,0.00094413,0.000401151,0.000953075
1,-7.86E-07,-0.00010534,9.23502E-05,5.3644E-05,-0.00022652,0.000937775,0.000455756,0.000916407
2,9.06997E-05,-4.19058E-05,5.24075E-05,4.38729E-05,-0.000167902,0.00096013,0.000557538,0.000901375
3,9.01745E-05,-3.95923E-05,3.00073E-05,-1.03302E-05,-0.000157982,0.000821468,0.000472151,0.000787009
4,0.000116367,-3.99426E-05,3.81246E-05,-3.46898E-05,-0.00013756,0.000796955,0.000430953,0.000798628
5,0.000127729,-4.14551E-05,3.49208E-05,-2.76825E-05,-0.000137977,0.000783816,0.000432856,0.000817414
6,9.61497E-05,-5.03659E-05,1.37464E-05,-8.3968E-06,-0.000165101,0.000783373,0.000447467,0.000837684
7,9.11615E-05,-6.19702E-05,5.5283E-06,2.30149E-05,-0.000182554,0.000804059,0.000488617,0.000873905
8,9.28455E-05,-6.52036E-05,1.92599E-05,3.13745E-05,-0.000193633,0.00087215,0.000511203,0.000964165
9,4.15519E-05,-4.52809E-05,0.000116866,6.50436E-05,-0.0001764,0.00097749,0.000494212,0.000969701
10,-4.06E-07,-2.99105E-05,8.4046E-05,3.25405E-05,-0.000163842,0.001124222,0.000459071,0.000762414
11,-5.07978E-05,-4.21774E-05,5.22957E-05,4.68752E-05,-0.000171561,0.001101837,0.000446081,0.00052926
12,-4.14212E-05,-4.2509E-05,4.59888E-05,4.55083E-05,-0.00015853,0.001076218,0.00045684,0.000468805
13,-3.47646E-05,-4.07882E-05,4.57167E-05,4.12128E-05,-0.000142213,0.001077853,0.000466544,0.000465993
14,-3.46375E-05,-5.73175E-05,5.83825E-05,4.64467E-05,-0.000136227,0.001124837,0.000458013,0.000466034
15,0.000010103,-7.873E-05,7.4897E-05,2.02283E-05,-9.0241E-05,0.001144279,0.000489049,0.000497021
16,-4.306E-06,-8.3037E-05,6.18703E-05,3.222E-05,7.3757E-05,0.001030755,0.000457958,0.000665203
17,7.6665E-06,-9.46225E-05,6.482E-05,5.1938E-05,3.1918E-05,0.000912126,0.000429071,0.001143311
18,3.8687E-05,-4.4357E-05,8.4285E-05,5.956E-05,6.3531E-05,0.000886611,0.000415105,0.001326837
19,2.9899E-05,-3.24135E-05,8.145E-05,5.62555E-05,8.1409E-05,0.0008942,0.000421402,0.00130339
20,6.6079E-05,-1.5065E-05,0.000163398,8.15055E-05,9.52255E-05,0.000929006,0.000495381,0.001312435
21,2.09435E-05,-4.97812E-05,0.00014754,8.2884E-05,-9.73158E-05,0.000893201,0.000494521,0.001213774
22,1.0971E-05,-7.6182E-05,0.000134967,7.049E-05,-0.000167717,0.000910804,0.00038518,0.001029671
23,-2.3957E-05,-7.7143E-05,9.732E-05,3.7719E-05,-0.000191406,0.000942189,0.000388559,0.000967373
24,4.44203E-05,-7.9572E-05,9.60379E-05,5.70973E-05,-0.00020618,0.000991128,0.000540689,0.000937954
25,5.97275E-05,-3.67686E-05,7.32094E-05,4.71582E-05,-0.000157692,0.000912223,0.000519589,0.000848062
26,6.00108E-05,-7.50386E-05,4.69499E-05,-1.45211E-05,-0.000159528,0.000786163,0.000464335,0.000784654
27,7.68454E-05,-6.97448E-05,4.6283E-05,-2.56783E-05,-0.000156868,0.000768773,0.000441164,0.000810877
28,3.19295E-05,-0.00010284,1.17569E-05,1.69125E-06,-0.000216562,0.000736348,0.00042351,0.000889119
29,-1.43499E-05,-9.48535E-05,0.000108197,4.3444E-05,-0.000211559,0.000853952,0.000375301,0.001055613
30,-5.87853E-05,-0.00011874,0.000139419,6.0385E-06,-0.000201728,0.000702903,0.000241455,0.001135461
31,-3.95215E-05,-0.000148807,0.000100054,-3.3658E-05,1.6399E-05,0.000680558,0.000255958,0.00141678
32,-2.67925E-05,-0.000159205,0.00010927,-4.56315E-05,2.09505E-05,0.000663869,0.000241793,0.001493279
33,1.1407E-05,-0.000168707,-3.6359E-05,1.24085E-05,2.5045E-05,0.000756022,0.000316847,0.00154205
34,1.1958E-05,-8.58605E-05,0.00010866,6.01855E-05,2.7504E-05,0.000819862,0.000501465,0.001350746
35,3.74015E-05,-0.000128896,5.56675E-05,5.1074E-05,2.12715E-05,0.000939741,0.000532951,0.001033299
36,5.57305E-05,-0.000164118,5.9839E-05,1.8269E-05,1.4655E-05,0.00100258,0.000531707,0.000865653
37,2.94895E-05,-0.000171073,6.38515E-05,2.2277E-05,4.6935E-05,0.001062073,0.000564899,0.000917024
38,2.9725E-06,-0.000178684,-5.84315E-05,-2.8644E-05,0.0002532,0.001721073,0.000667721,0.001041889
39,-3.24775E-05,-0.000210748,-0.000122987,-0.000117082,0.000288524,0.001874711,0.000706829,0.001132976
40,3.5585E-06,-0.00027056,-0.000164136,-9.3825E-05,0.000332528,0.001764328,0.00067278,0.0012641
41,-0.00260174,-0.005207797,-0.002564472,-0.000939809,0.000896816,0.01552977,0.011521418,-0.000294195
42,-0.00213993,-0.006215134,-0.005733226,0.000387077,0.00209691,0.003482908,0.002614249,0.001677797
43,-5.1896E-05,-0.000167041,-6.3508E-05,4.118E-05,0.000254028,0.001589221,0.000708007,0.001288713
44,-3.469E-06,-0.000100811,-9.25065E-05,0.000107489,0.000234455,0.001640215,0.000812329,0.001264229
45,2.2996E-05,-9.02005E-05,-6.60235E-05,0.000138215,0.000232346,0.00162296,0.000849936,0.001264095
46,-3.754E-05,-0.000156872,-6.09945E-05,5.1074E-05,0.000062332,0.000879094,0.000415031,0.001373884
47,-4.88945E-05,-0.000130348,0.000150155,-4.9368E-05,4.7933E-05,0.000790909,0.000366393,0.001298215
48,-8.1286E-05,-0.000169981,9.34525E-05,-3.9939E-05,-0.000200085,0.00080318,0.000272513,0.000994634
49,-5.23027E-05,-0.000152036,0.000118867,-1.7382E-05,-0.000208582,0.000860066,0.000284873,0.000990875
50,-5.205E-05,-0.000153486,0.000115946,-2.845E-05,-0.000221931,0.000855558,0.000288367,0.000985697
51,-3.35648E-05,-0.000142075,0.000124369,-2.13013E-05,-0.000226211,0.000860303,0.000314604,0.00100246
52,-4.5527E-05,-0.000140112,0.00012818,-1.04497E-05,-0.000209354,0.000832729,0.000274077,0.001036525
53,-8.18295E-05,-0.000129674,0.00013376,2.3805E-06,-0.00020336,0.000724398,0.000241551,0.001091547
54,-4.23865E-05,-0.000144527,0.000101328,-4.50095E-05,8.017E-06,0.000660833,0.000254154,0.001391738
55,0.00018803,6.4705E-06,1.4227E-05,0.000150669,0.000373278,0.001508575,0.000781119,0.001541153
56,0.000110052,-6.3881E-05,-2.53315E-05,0.000135451,0.000343621,0.001421359,0.000710376,0.001516536
57,9.51065E-05,-0.000100982,-5.06635E-05,0.000112649,0.000324615,0.001472256,0.00075756,0.001638811
58,4.7814E-05,-0.00022547,-0.000145536,-2.5254E-05,0.000265825,0.001557648,0.000626501,0.001606572
59,-2.56E-05,-0.000221409,-0.000126481,-0.00007274,0.000212051,0.001646571,0.000598204,0.001637664
60,-3.19745E-05,-0.00022117,-0.000135649,-8.624E-05,0.000195127,0.001715183,0.000585113,0.001551241
61,-3.73355E-05,-0.000247152,-0.000140854,-0.000110523,0.000219564,0.001755915,0.000598013,0.001485131
62,-1.92525E-05,-0.000270569,-0.000170872,-9.8247E-05,0.000291824,0.001776655,0.000631429,0.001297743
63,4.10295E-05,-0.000270564,-0.000165059,-9.3832E-05,0.000359993,0.001858264,0.000652063,0.000785697
64,0.002110344,0.00031945,0.005354935,0.007931009,0.010913417,0.049501614,0.018478353,0.000444233
65,-0.00040926,-0.016683905,-0.00279267,0.002916575,0.00123547,0.13771832,0.05913633,0.066733015
66,0.000992457,-0.012560595,-0.002667675,0.004744765,0.00339182,0.136898785,0.059798085,0.06872351
67,-0.00034697,-0.003283146,0.000670943,0.001917786,0.00064253,0.118701295,0.051588057,0.036241568
68,-7.69195E-05,-0.000245981,-4.9218E-05,1.12585E-05,0.000256472,0.001646821,0.000696607,0.001298566
69,-0.000075996,-0.000200986,-4.4673E-05,0.000020974,0.000250403,0.001647916,0.000722357,0.001283732
70,-9.32595E-05,-0.000194386,-9.213E-06,-4.6085E-06,0.000153265,0.001696735,0.000765603,0.001409333
71,-1.289E-06,-6.159E-05,9.875E-05,4.0195E-06,6.8102E-05,0.000847391,0.000402238,0.001326446
72,2.01015E-05,-6.64515E-05,0.000136237,3.75132E-05,-6.16463E-05,0.000867635,0.000465177,0.001276001
