,,,Demand,Solar,Wind,Hydro
2030,sc01,01-01 00:00:00+01:00,1083.521771,0.02,2852.8,25.2
2030,sc01,01-01 01:00:00+01:00,1084.297378,0.02,2851.2,22.8
2030,sc01,01-01 02:00:00+01:00,1101.748516,0.02,2833.6,22.8
2030,sc01,01-01 03:00:00+01:00,1139.753216,0.02,2842.8,25.2
2030,sc01,01-01 04:00:00+01:00,1253.767318,0.02,2805.6,22.8
2030,sc01,01-01 05:00:00+01:00,1415.481198,0.02,2730,22.8
2030,sc01,01-01 06:00:00+01:00,1481.795522,0.02,2458.8,25.2
2030,sc01,01-01 07:00:00+01:00,1436.03476,795.2,2070.8,22.8
2030,sc01,01-01 08:00:00+01:00,1355.759525,1130.8,1706.4,22.8
2030,sc01,01-01 09:00:00+01:00,1302.630505,1292.8,1096.8,22.8
2030,sc01,01-01 10:00:00+01:00,1268.503835,1387.6,372,22.8
2030,sc01,01-01 11:00:00+01:00,1242.133226,1416.8,25.2,22.8
2030,sc01,01-01 12:00:00+01:00,1218.477239,1389.2,15.2,22.8
2030,sc01,01-01 13:00:00+01:00,1203.352919,1288,4.4,25.2
2030,sc01,01-01 14:00:00+01:00,1196.372464,1061.2,0.004,25.2
2030,sc01,01-01 15:00:00+01:00,1200.638298,593.2,0.004,79.2
2030,sc01,01-01 16:00:00+01:00,1287.506185,0.02,3.6,76.2
2030,sc01,01-01 17:00:00+01:00,1408.112939,0.02,1105.2,79.2
2030,sc01,01-01 18:00:00+01:00,1392.600816,0.02,1091.6,54
2030,sc01,01-01 19:00:00+01:00,1369.720436,0.02,1382.4,25.2
2030,sc01,01-01 20:00:00+01:00,1325.123083,0.02,1646.8,22.8
2030,sc01,01-01 21:00:00+01:00,1229.335725,0.02,1506.4,22.8
2030,sc01,01-01 22:00:00+01:00,1134.323973,0.02,2245.2,22.8
2030,sc01,01-01 23:00:00+01:00,1090.114424,0.02,2273.6,22.8
2030,sc01,01-02 00:00:00+01:00,1068.009649,0.02,2520,16.8
2030,sc01,01-02 01:00:00+01:00,1065.295027,0.02,2689.2,16.8
2030,sc01,01-02 02:00:00+01:00,1075.76571,0.02,2645.2,16.8
2030,sc01,01-02 03:00:00+01:00,1112.607001,0.02,2616,16.8
2030,sc01,01-02 04:00:00+01:00,1207.618753,0.02,2617.6,16.8
2030,sc01,01-02 05:00:00+01:00,1343.349826,0.02,2665.6,16.8
2030,sc01,01-02 06:00:00+01:00,1401.520287,0.02,2746.8,19.8
2030,sc01,01-02 07:00:00+01:00,1347.227858,793.6,2757.2,14.4
2030,sc01,01-02 08:00:00+01:00,1292.159822,1145.6,2735.2,19.8
2030,sc01,01-02 09:00:00+01:00,1265.40141,1322,2794.4,14.4
2030,sc01,01-02 10:00:00+01:00,1241.35762,1399.2,2854,16.8
2030,sc01,01-02 11:00:00+01:00,1232.825953,1420,2841.2,16.8
2030,sc01,01-02 12:00:00+01:00,1223.906482,1384.8,2808.8,16.8
2030,sc01,01-02 13:00:00+01:00,1211.884587,1284.4,2796.8,16.8
2030,sc01,01-02 14:00:00+01:00,1209.169965,1076,2747.6,16.8
2030,sc01,01-02 15:00:00+01:00,1211.496784,596.4,2781.6,19.8
2030,sc01,01-02 16:00:00+01:00,1279.36232,0.02,2849.2,19.8
2030,sc01,01-02 17:00:00+01:00,1391.825211,0.02,2849.6,19.8
2030,sc01,01-02 18:00:00+01:00,1381.74233,0.02,2848.8,22.8
2030,sc01,01-02 19:00:00+01:00,1345.288843,0.02,2844.8,22.8
2030,sc01,01-02 20:00:00+01:00,1293.711034,0.02,2847.6,25.2
2030,sc01,01-02 21:00:00+01:00,1204.128526,0.02,2786.8,28.2
2030,sc01,01-02 22:00:00+01:00,1110.280183,0.02,2758.8,28.2
2030,sc01,01-02 23:00:00+01:00,1060.253587,0.02,2666.4,28.2
2030,sc01,01-03 00:00:00+01:00,1043.578055,0.02,2633.2,22.8
2030,sc01,01-03 01:00:00+01:00,1026.126917,0.02,2754,19.8
2030,sc01,01-03 02:00:00+01:00,1035.046388,0.02,2747.6,16.8
2030,sc01,01-03 03:00:00+01:00,1068.009649,0.02,2703.2,19.8
2030,sc01,01-03 04:00:00+01:00,1154.489733,0.02,2722,19.8
2030,sc01,01-03 05:00:00+01:00,1293.711034,0.02,2711.2,19.8
2030,sc01,01-03 06:00:00+01:00,1354.983919,0.02,2664.8,19.8
2030,sc01,01-03 07:00:00+01:00,1323.959673,787.6,2777.6,19.8
2030,sc01,01-03 08:00:00+01:00,1281.301336,1124.8,2760.4,19.8
2030,sc01,01-03 09:00:00+01:00,1264.238001,1283.2,2761.2,19.8
2030,sc01,01-03 10:00:00+01:00,1252.991713,1360.8,2588.8,22.8
2030,sc01,01-03 11:00:00+01:00,1239.030802,1381.2,2794.8,19.8
2030,sc01,01-03 12:00:00+01:00,1228.560119,1353.6,2093.6,19.8
2030,sc01,01-03 13:00:00+01:00,1221.191861,1264.8,2000.4,19.8
2030,sc01,01-03 14:00:00+01:00,1213.047996,1062,1927.2,19.8
2030,sc01,01-03 15:00:00+01:00,1209.945572,604.4,1966.4,19.8
2030,sc01,01-03 16:00:00+01:00,1255.706333,0.02,710,19.8
2030,sc01,01-03 17:00:00+01:00,1357.69854,0.02,43.6,19.8
2030,sc01,01-03 18:00:00+01:00,1327.062098,0.02,120.4,22.8
2030,sc01,01-03 19:00:00+01:00,1283.240352,0.02,387.6,19.8
2030,sc01,01-03 20:00:00+01:00,1253.767318,0.02,1558,22.8
2030,sc01,01-03 21:00:00+01:00,1194.045646,0.02,1618.4,25.2
2030,sc01,01-03 22:00:00+01:00,1116.09723,0.02,1418.8,22.8
2030,sc01,01-03 23:00:00+01:00,1064.131618,0.02,1656.4,22.8
2030,sc01,01-04 00:00:00+01:00,1042.414646,0.02,795.2,22.8
2030,sc01,01-04 01:00:00+01:00,1027.67813,0.02,310,19.8
2030,sc01,01-04 02:00:00+01:00,1035.821994,0.02,133.6,19.8
2030,sc01,01-04 03:00:00+01:00,1049.395101,0.02,114,19.8
2030,sc01,01-04 04:00:00+01:00,1098.646091,0.02,240,22.8
2030,sc01,01-04 05:00:00+01:00,1168.838447,0.02,341.2,19.8
2030,sc01,01-04 06:00:00+01:00,1230.886938,0.02,328.8,16.8
2030,sc01,01-04 07:00:00+01:00,1257.257546,746,283.2,19.8
2030,sc01,01-04 08:00:00+01:00,1250.664894,1066.8,345.6,19.8
2030,sc01,01-04 09:00:00+01:00,1234.764968,1200.4,406.8,19.8
2030,sc01,01-04 10:00:00+01:00,1216.538224,1227.6,192.8,19.8
2030,sc01,01-04 11:00:00+01:00,1191.718827,1228.4,484.8,16.8
2030,sc01,01-04 12:00:00+01:00,1167.287234,1153.6,974.4,16.8
2030,sc01,01-04 13:00:00+01:00,1142.467837,1096.4,1022.4,16.8
2030,sc01,01-04 14:00:00+01:00,1138.202004,1005.2,1810.8,19.8
2030,sc01,01-04 15:00:00+01:00,1149.836096,625.2,1766.8,16.8
2030,sc01,01-04 16:00:00+01:00,1224.682088,0.02,1613.2,19.8
2030,sc01,01-04 17:00:00+01:00,1327.449901,0.02,355.6,16.8
2030,sc01,01-04 18:00:00+01:00,1299.915883,0.02,2229.6,22.8
