,Month,Demand_0,Demand_1,Demand_10,Demand_11,Demand_12,Demand_13,Demand_14,Demand_15,Demand_16,Demand_17,Demand_18,Demand_19,Demand_2,Demand_20,Demand_21,Demand_22,Demand_23,Demand_3,Demand_4,Demand_5,Demand_6,Demand_7,Demand_8,Demand_9,Hydro_0,Hydro_1,Hydro_10,Hydro_11,Hydro_12,Hydro_13,Hydro_14,Hydro_15,Hydro_16,Hydro_17,Hydro_18,Hydro_19,Hydro_2,Hydro_20,Hydro_21,Hydro_22,Hydro_23,Hydro_3,Hydro_4,Hydro_5,Hydro_6,Hydro_7,Hydro_8,Hydro_9,Solar_0,Solar_1,Solar_10,Solar_11,Solar_12,Solar_13,Solar_14,Solar_15,Solar_16,Solar_17,Solar_18,Solar_19,Solar_2,Solar_20,Solar_21,Solar_22,Solar_23,Solar_3,Solar_4,Solar_5,Solar_6,Solar_7,Solar_8,Solar_9,Wind_0,Wind_1,Wind_10,Wind_11,Wind_12,Wind_13,Wind_14,Wind_15,Wind_16,Wind_17,Wind_18,Wind_19,Wind_2,Wind_20,Wind_21,Wind_22,Wind_23,Wind_3,Wind_4,Wind_5,Wind_6,Wind_7,Wind_8,Wind_9,0,1,2,3,4,5,6,7,8,Component 1,Component 2,Component 3,Segment K-medoids PCA
0,1,976.0,934.4918953,958.6747532,984.6791035,981.9555272,981.3850544,997.0794712,1042.721586,1097.274692,1127.363786,1122.787395,1106.57269,896.0762567,1084.2971,1055.502857,1006.974152,952.9502447,869.3572087,848.5821964,844.0156346,842.4883757,851.5837246,876.5003914,923.4493694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.692825,68.119825,76.5494,77.670475,73.54155,61.90465,38.19285,8.62515,0.040125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04755,0.8972,19.620825,157.075,144.7056,65.00585,67.159275,70.632225,71.645425,72.1197,66.24845,62.664275,66.448,68.008625,71.664325,134.218275,76.49085,82.8753,86.070825,86.37745,128.7664,120.8925,112.445125,106.736175,96.856325,87.694875,73.9853,-2.748505281521937,-1.2237157771509464,2.4514849761318365,0.09374371341912008,1.4013444337573768,-1.4705525239911423,-0.8527809380583712,1.2342978367376678,0.7038416233494608,-0.3125321695501116,1.4637384375498506,-0.14074769537906706,23
1,1,923.4597191,901.5475338,1298.051694,1296.768956,1289.521134,1280.248303,1290.648975,1328.463812,1371.907329,1384.841462,1349.832031,1304.384996,886.1377203,1251.42095,1197.521685,1132.562149,1070.810836,894.8844814,942.1329789,1029.053794,1117.926327,1190.2346,1241.294183,1281.861238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.20345,67.392975,74.4203,74.127325,68.30635,55.007575,31.9986,6.9971,0.0478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048825,1.09305,21.06315,82.447875,75.531725,55.480775,43.867975,35.6382,33.554875,33.443825,37.132775,41.31305,46.6441,46.718625,45.963725,73.82505,43.373025,45.382225,49.2963,48.05865,69.21735,71.969075,76.3894,77.010675,80.64685,75.846275,69.022375,1.5540225913188124,-7.808959519743662,0.2955622816874954,-0.37982905311486237,1.0614587620911573,-0.6429269225036758,0.5697857268498389,-0.010734029824809225,-0.851008364777071,1.4018725461462325,2.6604890328900863,2.2862380712879844,7
2,1,1035.100407,1008.822176,1361.076364,1349.874224,1339.475661,1329.23964,1339.662054,1375.345752,1418.551774,1430.048841,1391.207849,1336.317424,992.4298637,1279.43393,1222.893738,1153.640057,1088.668309,997.2252602,1038.025368,1125.517102,1214.767659,1289.815442,1331.865701,1357.531589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.4931,69.846375,76.585325,77.533325,73.313125,62.25485,38.9692,9.23575,0.052275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048925,1.069925,21.155425,46.58765,49.796275,85.511275,79.298025,73.565525,78.352275,85.09085,89.799875,96.3553,109.1864,119.52315,122.5767,55.931125,125.398625,129.46855,127.5235,127.2701,60.244625,65.460075,70.013075,76.2804,81.218875,82.57045,87.144025,4.8689574304962155,-8.171338604417736,-1.557694231241362,-0.17431495410018666,-0.23445594394959302,1.1485229415921872,-0.8874286486574298,0.6150560189199177,-0.34548560491991337,0.7781139250490384,1.2899988510454985,0.7855215690949116,7
3,1,1050.92051,1022.823516,1370.610469,1357.114053,1348.105622,1339.303042,1347.903394,1378.837885,1419.404989,1431.057574,1389.008755,1335.761023,1004.000024,1278.081722,1222.515615,1156.977142,1090.859932,1008.019741,1048.818906,1134.838158,1228.598044,1306.366648,1345.431983,1368.292292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.27845,67.855375,75.362375,76.355625,72.285375,61.511975,38.773775,9.36555,0.06195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048275,0.98945,20.0429,129.23585,125.255575,107.85625,100.003525,95.503075,92.3446,89.079775,85.3837,80.9369,81.771275,91.694525,93.9682,126.725025,89.066575,78.483875,66.7651,50.02975,127.15775,130.514425,128.9524,129.98725,127.198725,124.0806,117.08765,5.7937570428096095,-7.706674791942705,-1.4057374909117804,0.6454782693350923,0.39355890159857154,-1.4552705837711806,-0.24157076288133664,0.45705944926150716,-0.08205669405326195,0.9671749742612319,0.9417469023930667,0.48383322545971746,7
4,1,1054.569326,1026.782103,1364.956298,1346.407185,1330.307368,1314.453388,1320.930519,1348.454657,1385.865484,1393.856297,1347.238186,1293.885865,1008.6952,1238.535959,1190.625579,1131.417332,1069.066334,1012.356327,1049.135105,1137.016056,1228.126749,1305.339325,1342.547056,1364.725429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.892575,59.364575,66.657775,68.914075,66.2004,56.984875,36.0849,8.645225,0.049825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047475,0.867275,17.364125,37.7609,30.20635,36.855175,32.63115,30.2444,31.2469,32.815175,32.74595,33.204475,35.033625,40.4391,43.909375,28.1001,43.341325,42.877325,45.733025,52.701975,28.16045,26.66385,25.36375,29.7728,34.514625,39.494725,39.9516,2.7621250066717034,-10.403249936067699,-0.24396680093956138,-0.4291242830442901,-0.49517782812112143,0.044695387717325674,-0.08532832808551247,0.4064958780604458,-0.45191549328876307,0.7734233219359081,0.1940217878182158,-0.01264897687232439,7
5,1,1029.352966,994.4114161,1160.793986,1160.127338,1139.707689,1127.810732,1132.365679,1169.986527,1221.976365,1248.838819,1224.778966,1187.348532,965.8688406,1148.558046,1112.99028,1064.049226,1008.947985,948.1084857,942.5488025,967.0040031,1003.904445,1049.084399,1102.908436,1141.826344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70115,46.7066,52.05675,54.565275,53.408325,46.217325,28.494175,6.38565,0.047925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.836125,12.700375,59.09125,67.212525,62.525925,48.95905,42.76845,42.980325,44.9867,41.981525,40.107775,37.2357,40.275775,47.02345,70.184875,57.23595,65.270725,64.8226,63.561875,74.993825,80.15505,82.15055,84.303,82.141,82.681175,79.015,0.2264173608041522,-5.809902805323729,3.0670235615298895,-0.6999584091820095,-0.8115497945836635,-1.0283277788568888,0.10923801581149817,0.5051288262635761,0.01607500590731768,0.22629827713264603,0.00311980649683687,-0.3040772007019005,39
6,1,972.623923,936.1226755,1087.430792,1094.822763,1082.212821,1072.094071,1078.47726,1123.513783,1191.152568,1222.738865,1212.544763,1187.428773,909.4964767,1154.998966,1112.939598,1052.615349,995.6459551,893.4213061,884.4821953,898.3036446,925.2374546,961.4064206,1010.497805,1059.608846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3315,41.599725,52.2147,57.305175,56.018575,47.974175,29.980675,7.149875,0.05185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043525,0.494475,9.56355,58.1406,48.004475,17.476775,11.346725,9.3512,8.052925,7.001625,6.3037,6.8617,9.819925,16.374775,19.06935,37.205775,20.00835,18.690925,20.1848,21.00255,26.06925,17.955725,15.126925,16.345725,22.030675,29.3315,27.595025,-2.7934960084354787,-6.510567529300468,3.9707292028680254,-1.1493119398145861,-0.6824596176165975,-0.8392829740432606,0.3025446257962943,0.5441529189569733,-0.12352404526298612,0.6261097452108408,0.8311313818535859,0.26204593720155966,39
7,1,971.3884903,949.7815334,1383.053874,1371.819246,1367.893594,1357.949373,1363.976753,1395.620159,1431.801013,1438.286558,1391.136394,1337.180665,937.9993907,1270.068026,1204.593959,1130.65163,1064.109264,953.2816822,1021.034512,1146.577586,1262.941794,1339.118064,1365.99407,1384.20775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39735,52.019425,59.980125,63.894975,62.267225,53.91765,34.7071,8.902825,0.08485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047025,0.6727,13.578575,24.3012,29.79515,55.0254,45.0795,48.4316,54.697075,58.1177,58.9042,48.7698,48.64885,58.05485,78.06555,35.07705,89.571375,103.84355,121.338475,129.90995,38.581975,41.523675,46.88555,49.86205,47.8444,49.694825,48.58115,3.7601127705411073,-9.386510581509933,0.18714372534089294,-1.2512659245347875,-0.3180671007842487,1.1663008989557326,0.7550074197422278,-0.416345499654787,-1.2883276496294291,0.7328238970518431,1.7203237287542945,1.6345549651249596,7
8,1,1032.340645,1006.893142,1372.494903,1356.131282,1348.855589,1339.641529,1346.220047,1375.709952,1420.492299,1434.760224,1392.894944,1334.998102,993.9476416,1269.811716,1201.900737,1131.803794,1064.521662,1000.078493,1056.17221,1168.018527,1281.478176,1348.188966,1368.203935,1380.850436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.07235,63.20205,71.28595,74.395775,71.6568,62.274175,41.285625,11.31525,0.113625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047325,0.9741,18.80815,125.4636,106.9371,85.09835,81.96415,78.696375,78.2992,77.61165,75.4285,75.30105,75.8559,82.4599,89.43635,92.91045,93.2105,95.5882,89.613375,87.744925,79.1055,79.6647,80.00465,86.956275,91.754,86.99575,84.988275,5.025944985893993,-8.367017780076276,-1.2488394771457272,-0.040839435210960666,0.33747336231008557,-0.3283803519687661,0.06265579222428776,0.16836945224777833,-0.48241641456555623,0.5209087943553826,0.957538011991315,0.5241943320344099,7
9,1,1029.150465,1003.351073,1360.221188,1345.463652,1337.599914,1329.72327,1341.132229,1380.451664,1421.88062,1441.244875,1401.512297,1348.288144,991.5291202,1283.413043,1218.561446,1153.212642,1086.847959,999.2861349,1055.195196,1164.411952,1271.360046,1339.471491,1358.998363,1370.195316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3979,66.369775,72.874675,74.03335,70.35665,60.7939,39.431875,10.1868,0.073225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0431,1.0758,20.496525,89.482475,92.657075,98.50175,77.772225,67.175675,54.530475,51.231975,53.1518,52.0839,68.063825,88.84,102.04805,99.43355,113.13175,122.635975,127.621175,135.635025,102.714525,105.775125,113.571575,121.727175,127.641025,126.076325,115.59275,5.509105153060118,-7.995631249466795,-1.3495663175290566,0.1578909915790804,0.21304512028997646,-0.3086085601338239,-0.23099556404095606,0.30723248264138003,-0.42739875845524145,0.08350969964493574,1.431596760247814,1.0768666284541002,7
