,Weight
sti1,199
sti10,252
sti11,100
sti12,232
sti13,119
sti14,158
sti15,299
sti16,145
sti17,95
sti18,165
sti19,175
sti2,89
sti20,142
sti21,139
sti22,65
sti23,119
sti24,180
sti25,47
sti26,74
sti27,114
sti28,254
sti29,152
sti3,209
sti30,57
sti31,104
sti32,151
sti33,135
sti34,230
sti35,105
sti36,124
sti37,183
sti38,103
sti39,108
sti4,98
sti40,258
sti41,94
sti42,137
sti43,214
sti44,120
sti45,132
sti46,110
sti47,90
sti48,134
sti49,148
sti5,115
sti50,145
sti51,193
sti52,122
sti53,191
sti54,77
sti55,147
sti56,138
sti57,126
sti58,82
sti59,209
sti6,182
sti60,230
sti7,81
sti8,113
sti9,227
