,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
,N_106,N_117,N_118,N_116,N_117,N_115,N_103,N_109,N_115,N_103,N_109,N_106,N_116,N_118,N_115,N_103,N_109,N_118,N_106,N_117,N_116
,N_108,N_118,N_121,N_117,N_118,N_116,N_124,N_111,N_116,N_124,N_111,N_108,N_117,N_121,N_116,N_124,N_111,N_121,N_108,N_118,N_117
,cac2,cac3,cac2,cac2,cac2,cac1,cac1,cac1,cac3,cac3,cac3,cac1,cac1,cac1,cac2,cac2,cac2,cac3,cac3,cac1,cac3
LoadLevel,,,,,,,,,,,,,,,,,,,,,
01-01 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 02:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 04:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 06:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 08:00:00+01:00,0.0,0.0,0.0040571304040416395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.15049886843600913,0.0,0.0,0.15049886843600913,0.0,0.0,0.0,0.6044695298912497,0.0,0.15049886843600913,0.0,0.0,0.10672488076850117,0.0,0.0,0.0
01-01 10:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19898549184225442,0.0,0.0,0.0,0.15228532865999989,0.0,0.0,0.0,0.0,0.23483281705079162,0.0,0.0,0.0
01-01 11:00:00+01:00,0.0,0.0,0.06513282241019214,0.0,0.0,0.0,0.0,0.0,0.07660623422939489,0.0,0.0,0.0,0.06771466921999947,0.21710490788280223,0.0,0.0,0.0,0.21710490788280223,0.0,0.0,0.0
