,Weight
sti1,23
sti10,11
sti100,11
sti101,39
sti102,13
sti103,12
sti104,30
sti105,18
sti106,20
sti107,36
sti108,13
sti109,5
sti11,19
sti110,32
sti111,10
sti112,2
sti113,16
sti114,9
sti115,43
sti116,24
sti117,22
sti118,25
sti119,24
sti12,26
sti120,6
sti121,4
sti122,49
sti123,34
sti124,43
sti125,10
sti126,5
sti127,15
sti128,19
sti129,48
sti13,24
sti130,8
sti131,9
sti132,7
sti133,33
sti134,9
sti135,26
sti136,25
sti137,21
sti138,85
sti139,17
sti14,20
sti140,40
sti141,29
sti142,8
sti143,67
sti144,4
sti145,29
sti146,16
sti147,7
sti148,34
sti149,91
sti15,17
sti150,46
sti151,89
sti152,12
sti153,31
sti154,39
sti155,8
sti156,8
sti157,17
sti158,11
sti159,23
sti16,88
sti160,36
sti161,50
sti162,10
sti163,15
sti164,13
sti165,16
sti166,5
sti167,87
sti168,10
sti169,38
sti17,13
sti170,30
sti171,22
sti172,34
sti173,32
sti174,33
sti175,11
sti176,21
sti177,16
sti178,38
sti179,27
sti18,26
sti180,11
sti181,10
sti182,34
sti183,31
sti184,8
sti185,9
sti186,13
sti187,59
sti188,16
sti189,101
sti19,6
sti190,67
sti191,35
sti192,34
sti193,36
sti194,7
sti195,30
sti196,37
sti197,40
sti198,88
sti199,8
sti2,38
sti20,40
sti200,15
sti201,17
sti202,45
sti203,25
sti204,37
sti205,15
sti206,39
sti207,12
sti208,22
sti209,21
sti21,100
sti210,14
sti211,7
sti212,14
sti213,9
sti214,23
sti215,16
sti216,15
sti217,26
sti218,99
sti219,5
sti22,23
sti220,13
sti221,8
sti222,10
sti223,21
sti224,12
sti225,52
sti226,27
sti227,15
sti228,3
sti229,32
sti23,7
sti230,74
sti231,104
sti232,9
sti233,34
sti234,80
sti235,18
sti236,5
sti237,25
sti238,28
sti239,9
sti24,13
sti240,50
sti241,68
sti242,3
sti243,9
sti244,26
sti245,22
sti246,9
sti247,3
sti248,27
sti249,13
sti25,66
sti250,17
sti251,27
sti252,74
sti253,34
sti254,10
sti255,8
sti256,82
sti257,16
sti258,81
sti259,25
sti26,29
sti260,83
sti261,70
sti262,9
sti263,75
sti264,26
sti265,25
sti266,72
sti267,38
sti268,13
sti269,22
sti27,109
sti270,18
sti271,10
sti272,23
sti273,48
sti274,13
sti275,6
sti276,4
sti277,25
sti278,80
sti279,8
sti28,8
sti280,12
sti281,8
sti282,17
sti283,14
sti284,29
sti285,64
sti286,11
sti287,52
sti288,24
sti289,20
sti29,38
sti290,23
sti291,8
sti292,15
sti293,39
sti294,18
sti295,26
sti296,2
sti297,23
sti298,12
sti299,2
sti3,6
sti30,12
sti300,18
sti31,14
sti32,32
sti33,18
sti34,14
sti35,25
sti36,2
sti37,37
sti38,14
sti39,22
sti4,12
sti40,30
sti41,13
sti42,8
sti43,101
sti44,22
sti45,36
sti46,15
sti47,13
sti48,24
sti49,10
sti5,109
sti50,87
sti51,5
sti52,116
sti53,80
sti54,36
sti55,96
sti56,27
sti57,6
sti58,9
sti59,3
sti6,13
sti60,90
sti61,55
sti62,21
sti63,18
sti64,11
sti65,20
sti66,9
sti67,17
sti68,27
sti69,6
sti7,17
sti70,24
sti71,28
sti72,10
sti73,27
sti74,10
sti75,28
sti76,14
sti77,20
sti78,9
sti79,12
sti8,84
sti80,11
sti81,36
sti82,26
sti83,87
sti84,1
sti85,25
sti86,20
sti87,44
sti88,107
sti89,25
sti9,103
sti90,5
sti91,35
sti92,35
sti93,21
sti94,31
sti95,99
sti96,83
sti97,29
sti98,14
sti99,63
