,,,Length,LineType,InitialPeriod,FinalPeriod,Voltage,LossFactor,Resistance,Reactance,Susceptance,Tap,TTC,TTCBck,SecurityFactor,FixedInvestmentCost,FixedChargeRate,BinaryInvestment,Switching,SwOnTime,SwOffTime,AngMin,AngMax,InvestmentLo,InvestmentUp
N_101,N_102,eac1,,AC,2015,2050,138,0.01,0.003,0.014,0.461,1,175,,1,,,,,,,-1.047197551,1.047197551,,
N_101,N_103,eac1,,AC,2015,2050,138,0.01,0.055,0.211,0.057,1,175,,1,,,,,,,-1.047197551,1.047197551,,
N_101,N_105,eac1,,AC,2015,2050,138,0.01,0.022,0.085,0.023,1,175,,1,,,,,,,-1.047197551,1.047197551,,
N_102,N_104,eac1,,AC,2015,2050,138,0.01,0.033,0.127,0.034,1,175,,1,,,,,,,-1.047197551,1.047197551,,
N_102,N_106,eac1,,AC,2015,2050,138,0.01,0.05,0.192,0.052,1,175,,1,,,,,,,-1.047197551,1.047197551,,
N_103,N_109,eac1,,AC,2015,2050,138,0.01,0.031,0.119,0.032,1,175,,1,,,,,,,-1.047197551,1.047197551,,
N_103,N_124,eac1,,DC,2015,2050,230,0.01,0.002,0.084,0,1.015,400,,1,,,,,,,-1.047197551,1.047197551,,
N_104,N_109,eac1,,AC,2015,2050,138,0.01,0.027,0.104,0.028,1,175,,1,,,,,,,-1.047197551,1.047197551,,
N_105,N_110,eac1,,AC,2015,2050,138,0.01,0.023,0.088,0.024,1,175,,1,,,,,,,-1.047197551,1.047197551,,
N_106,N_110,eac1,,AC,2015,2050,138,0.01,0.014,0.061,0.2459,1,175,,1,,,,,,,-1.047197551,1.047197551,,
N_107,N_108,eac1,,AC,2015,2050,138,0.01,0.016,0.061,0.017,1,175,,1,,,,,,,-1.047197551,1.047197551,,
N_108,N_109,eac1,,AC,2015,2050,138,0.01,0.043,0.165,0.045,1,175,,1,,,,,,,-1.047197551,1.047197551,,
N_108,N_110,eac1,,AC,2015,2050,138,0.01,0.043,0.165,0.045,1,175,,1,,,,,,,-1.047197551,1.047197551,,
N_109,N_111,eac1,,DC,2015,2050,230,0.01,0.002,0.084,0,1.03,400,,1,,,,,,,-1.047197551,1.047197551,,
N_109,N_112,eac1,,DC,2015,2050,230,0.01,0.002,0.084,0,1.03,400,,1,,,,,,,-1.047197551,1.047197551,,
N_110,N_111,eac1,,DC,2015,2050,230,0.01,0.002,0.084,0,1.015,400,,1,,,,,,,-1.047197551,1.047197551,,
N_110,N_112,eac1,,DC,2015,2050,230,0.01,0.002,0.084,0,1.015,400,,1,,,,,,,-1.047197551,1.047197551,,
N_111,N_113,eac1,,AC,2015,2050,230,0.01,0.006,0.048,0.1,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_111,N_114,eac1,,AC,2015,2050,230,0.01,0.005,0.042,0.088,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_112,N_113,eac1,,AC,2015,2050,230,0.01,0.006,0.048,0.1,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_112,N_123,eac1,,AC,2015,2050,230,0.01,0.012,0.097,0.203,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_113,N_123,eac1,,AC,2015,2050,230,0.01,0.011,0.087,0.182,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_114,N_116,eac1,,AC,2015,2050,230,0.01,0.005,0.059,0.082,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_115,N_116,eac1,,AC,2015,2050,230,0.01,0.002,0.017,0.036,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_115,N_121,eac1,,AC,2015,2050,230,0.01,0.006,0.049,0.103,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_115,N_121,eac2,,AC,2015,2050,230,0.01,0.006,0.049,0.103,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_115,N_124,eac1,,AC,2015,2050,230,0.01,0.007,0.052,0.109,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_116,N_117,eac1,,AC,2015,2050,230,0.01,0.003,0.026,0.055,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_116,N_119,eac1,,AC,2015,2050,230,0.01,0.003,0.023,0.049,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_117,N_118,eac1,,AC,2015,2050,230,0.01,0.002,0.014,0.03,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_117,N_122,eac1,,AC,2015,2050,230,0.01,0.014,0.105,0.221,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_118,N_121,eac1,,AC,2015,2050,230,0.01,0.003,0.026,0.055,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_118,N_121,eac2,,AC,2015,2050,230,0.01,0.003,0.026,0.055,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_119,N_120,eac1,,AC,2015,2050,230,0.01,0.005,0.04,0.083,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_119,N_120,eac2,,AC,2015,2050,230,0.01,0.005,0.04,0.083,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_120,N_123,eac1,,AC,2015,2050,230,0.01,0.003,0.022,0.046,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_120,N_123,eac2,,AC,2015,2050,230,0.01,0.003,0.022,0.046,1,500,,1,,,,,,,-1.047197551,1.047197551,,
N_121,N_122,eac1,,AC,2015,2050,230,0.01,0.009,0.068,0.142,1,500,,1,,,,,,,-1.047197551,1.047197551,,
