,LoadLevel,101_PV_1,101_PV_2,101_PV_3,101_PV_4,102_PV_1,102_PV_2,103_PV_1,104_PV_1,113_PV_1,118_RTPV_1,118_RTPV_10,118_RTPV_2,118_RTPV_3,118_RTPV_4,118_RTPV_5,118_RTPV_6,118_RTPV_7,118_RTPV_8,118_RTPV_9,119_PV_1,122_WIND_1
0,01-01 00:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
1,01-01 01:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
2,01-01 02:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
3,01-01 03:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
4,01-01 04:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
5,01-01 05:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
6,01-01 06:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
7,01-01 07:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
8,01-01 08:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
9,01-01 09:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
10,01-01 10:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
11,01-01 11:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
12,01-01 12:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
13,01-01 13:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
14,01-01 14:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
15,01-01 15:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
16,01-01 16:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
17,01-01 17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1549.569940155958
18,01-01 18:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.4472690481973
19,01-01 19:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.4472690481973
20,01-01 20:00:00+01:00,0.0,0.0,0.0,0.0,60.84751232590945,101.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946.7440888040903
21,01-01 21:00:00+01:00,0.0,0.0,0.0,0.0,60.84751232590945,101.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946.7440888040903
22,01-01 22:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222637568,0.0,37.2,18.000000000000004,38.8,37.6,0.0,0.0,38.8,0.0,44.8,13.401605984000309,0.0,1371.319607
23,01-01 23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222637568,0.0,37.2,18.000000000000004,38.8,37.6,0.0,0.0,38.8,0.0,44.8,13.401605984000309,0.0,1371.319607
24,01-02 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222637568,0.0,37.2,18.000000000000004,38.8,37.6,0.0,0.0,38.8,0.0,44.8,13.401605984000309,0.0,1371.319607
25,01-02 01:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
26,01-02 02:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
27,01-02 03:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
28,01-02 04:00:00+01:00,0.230290472,0.237403692,0.232957928,0.22940132,0.0,0.0,0.0,107.2,374.4,0.0,18.000000000000004,38.8,1.4526015440000442,0.0,36.4,38.8,47.2,44.8,0.0,0.0,1680.428131
29,01-02 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222637568,0.0,37.2,18.000000000000004,38.8,37.6,0.0,0.0,38.8,0.0,44.8,13.401605984000309,0.0,1371.319607
30,01-02 06:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222637568,0.0,37.2,18.000000000000004,38.8,37.6,0.0,0.0,38.8,0.0,44.8,13.401605984000309,0.0,1371.319607
31,01-02 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.3527230369236
32,01-02 08:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.4472690481973
33,01-02 09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.4472690481973
34,01-02 10:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.3527230369236
