LoadLevel,Network_Line_Out_bus004_bus011_cac1,Network_Line_Out_bus005_bus006_cac1,Network_Line_Out_bus006_bus007_cac1,Network_Line_Out_bus008_bus005_cac1,Network_Line_Out_bus011_bus013_cac1,Network_Line_Out_bus012_bus016_cac1,Network_Line_Out_bus015_bus033_cac1,Network_Line_Out_bus017_bus113_cac1,Network_Line_Out_bus025_bus027_cac1,Network_Line_Out_bus026_bus030_cac1,Network_Line_Out_bus030_bus038_cac1,Network_Line_Out_bus033_bus037_cac1,Network_Line_Out_bus054_bus056_cac1,Network_Line_Out_bus068_bus069_cac1,Network_Line_Out_bus069_bus077_cac1,Network_Line_Out_bus077_bus082_cac1,Network_Line_Out_bus080_bus099_cac1,Network_Line_Out_bus082_bus083_cac1,Network_Line_Out_bus092_bus093_cac1,Network_Line_Out_bus094_bus100_cac1,Network_Line_Out_bus099_bus100_cac1
01-01 00:00:00+01:00,-4.26326E-14,0.000459219,-9.9476E-14,7.875413545,0.000594152,-0.005502959,0.058750172,1.114506539,0.249423888,-0.409604858,18.71955489,0.216590101,0.001390521,-0.05269587,0.061335746,-0.002056101,58.18533415,0.029790386,-4.26326E-14,0.838950603,58.18533415
01-01 01:00:00+01:00,5.68434E-14,0.000524832,1.42109E-14,6.860219908,0.00187042,-0.00716424,0.089023043,0.921341615,0.256667704,-0.629078934,16.77610653,0.158226508,0.001582737,-0.053534694,0.060173636,-0.001883211,69.06597502,0.017629456,8.52651E-14,0.365218976,69.06597502
01-01 02:00:00+01:00,4.26326E-14,0.000641125,5.68434E-14,5.356001066,0.003547228,-0.008989647,0.109263906,0.690954357,0.274643084,-0.664580244,14.18259633,0.174920363,0.001439184,-0.045947811,0.06915982,-0.001353369,67.15053081,0.014542553,5.68434E-14,-0.00172202,67.15053081
01-01 03:00:00+01:00,1.7053E-13,0.000424369,1.27898E-13,3.679309097,0.002996069,-0.014693908,0.121160514,0.41542728,0.305709087,-0.716081624,11.04484084,0.178709728,0.001224595,-0.023152905,0.088643583,-0.000666455,65.13323794,0.018507987,1.7053E-13,-0.000565612,65.13323794
01-01 04:00:00+01:00,-7.10543E-14,0.000414977,0,2.614571849,0.003151053,-0.014319283,0.1199916,0.291641683,0.313665695,-0.725193547,8.889362063,0.17514007,0.000938941,0.007839301,0.07376745,8.62331E-05,65.62040448,0.031933528,-1.42109E-14,-0.001120073,65.62040448
01-01 05:00:00+01:00,-4.26326E-14,0.000399614,-1.42109E-14,2.27173016,0.003356243,-0.014583575,0.101969503,0.240549405,0.289412062,-0.69048882,7.917043621,0.155063745,0.000781895,0.001511086,0.068316639,0.00025347,67.17850771,0.03104532,-4.26326E-14,-0.002355788,67.17850771
01-01 06:00:00+01:00,0,0.000410721,-2.84217E-14,2.443960593,0.00369774,-0.01552803,0.10827,0.245828502,0.296989749,-0.72637882,8.134228958,0.164490557,0.000987763,0.000832555,0.073632375,1.36901E-06,65.65824716,0.031191609,1.42109E-14,-0.002752776,65.65824716
01-01 07:00:00+01:00,2.84217E-14,0.000389665,-2.13163E-14,2.867111489,0.00332198,-0.0141643,0.104183369,0.306819038,0.317011338,-0.700778898,9.00903525,0.152635548,0.00093569,0.007108712,0.072453662,-0.000105297,29.12432375,0.035267212,0,-0.003213549,29.12432375
01-01 08:00:00+01:00,-1.42109E-14,0.000384121,-2.84217E-14,1.765323895,0.003255843,-0.012546798,0.105876737,0.322631514,0.289993287,-0.681716589,6.982124259,0.12616799,0.000583213,0.004555832,0.072723256,-0.00052425,85.36096419,0.03398752,-1.42109E-14,0.242877893,85.36096419
01-01 09:00:00+01:00,0,0,0,0,0,0,0,0.405060389,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0
