,Weight
sti1,135
sti10,22
sti100,122
sti11,247
sti12,113
sti13,49
sti14,156
sti15,15
sti16,40
sti17,317
sti18,6
sti19,763
sti2,191
sti20,23
sti21,141
sti22,7
sti23,132
sti24,20
sti25,32
sti26,245
sti27,2
sti28,10
sti29,213
sti3,5
sti30,72
sti31,69
sti32,12
sti33,11
sti34,163
sti35,4
sti36,275
sti37,251
sti38,24
sti39,2
sti4,370
sti40,29
sti41,14
sti42,448
sti43,21
sti44,40
sti45,48
sti46,19
sti47,15
sti48,2
sti49,7
sti5,3
sti50,34
sti51,24
sti52,17
sti53,15
sti54,24
sti55,63
sti56,6
sti57,1
sti58,214
sti59,71
sti6,86
sti60,9
sti61,41
sti62,84
sti63,8
sti64,144
sti65,6
sti66,121
sti67,19
sti68,33
sti69,14
sti7,22
sti70,31
sti71,305
sti72,342
sti73,86
sti74,31
sti75,103
sti76,5
sti77,85
sti78,16
sti79,202
sti8,6
sti80,249
sti81,43
sti82,192
sti83,14
sti84,44
sti85,110
sti86,37
sti87,11
sti88,59
sti89,96
sti9,71
sti90,19
sti91,64
sti92,96
sti93,14
sti94,181
sti95,31
sti96,75
sti97,20
sti98,94
sti99,43
