,Weight
sti1,33
sti10,63
sti100,42
sti101,42
sti102,30
sti103,25
sti104,55
sti105,25
sti106,59
sti107,16
sti108,29
sti109,32
sti11,65
sti110,40
sti111,78
sti112,79
sti113,56
sti114,40
sti115,19
sti116,22
sti117,30
sti118,61
sti119,53
sti12,69
sti120,47
sti121,71
sti122,88
sti123,34
sti124,51
sti125,42
sti126,19
sti127,27
sti128,10
sti129,70
sti13,94
sti130,24
sti131,41
sti132,56
sti133,110
sti134,58
sti135,51
sti136,60
sti137,29
sti138,85
sti139,24
sti14,32
sti140,74
sti141,62
sti142,56
sti143,41
sti144,43
sti145,63
sti146,68
sti147,50
sti148,69
sti149,36
sti15,41
sti150,41
sti151,34
sti152,32
sti153,73
sti154,22
sti155,20
sti156,70
sti157,24
sti158,51
sti159,10
sti16,74
sti160,21
sti161,39
sti162,38
sti163,51
sti164,46
sti165,36
sti166,47
sti167,7
sti168,77
sti169,39
sti17,34
sti170,22
sti171,56
sti172,30
sti173,54
sti174,50
sti175,29
sti176,23
sti177,26
sti178,27
sti179,34
sti18,57
sti180,52
sti19,102
sti2,26
sti20,49
sti21,72
sti22,84
sti23,59
sti24,56
sti25,41
sti26,21
sti27,46
sti28,31
sti29,34
sti3,84
sti30,41
sti31,91
sti32,15
sti33,36
sti34,91
sti35,91
sti36,23
sti37,42
sti38,26
sti39,62
sti4,21
sti40,45
sti41,56
sti42,43
sti43,115
sti44,73
sti45,27
sti46,33
sti47,98
sti48,45
sti49,54
sti5,46
sti50,61
sti51,43
sti52,34
sti53,47
sti54,28
sti55,24
sti56,100
sti57,46
sti58,35
sti59,89
sti6,32
sti60,25
sti61,54
sti62,54
sti63,79
sti64,33
sti65,22
sti66,7
sti67,40
sti68,37
sti69,90
sti7,29
sti70,61
sti71,43
sti72,32
sti73,61
sti74,42
sti75,53
sti76,41
sti77,118
sti78,45
sti79,72
sti8,69
sti80,78
sti81,48
sti82,88
sti83,42
sti84,30
sti85,41
sti86,43
sti87,73
sti88,44
sti89,62
sti9,32
sti90,25
sti91,46
sti92,68
sti93,36
sti94,96
sti95,61
sti96,60
sti97,34
sti98,34
sti99,35
