,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
,bus012,bus077,bus082,bus093,bus047,bus011,bus069,bus025,bus015,bus038,bus023,bus008,bus012,bus005,bus011,bus099,bus008,bus033,bus012,bus026,bus030,bus017,bus094,bus007,bus006,bus003,bus092,bus038,bus004,bus064,bus080,bus068,bus065,bus054
,bus016,bus082,bus083,bus094,bus049,bus013,bus077,bus027,bus033,bus037,bus032,bus030,bus014,bus006,bus012,bus100,bus005,bus037,bus117,bus030,bus038,bus113,bus100,bus012,bus007,bus005,bus093,bus065,bus011,bus065,bus099,bus069,bus068,bus056
,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1
LoadLevel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1530703426606934,0.0,0.13406531372085306,0.55302039758233,0.2226825785865304,0.0,0.11444704415825491,0.0,0.0,0.5065257411033581,0.0,0.05824585305970149,0.02608270489609162,1.0,0.43378892787500123,0.2464027397636612,0.0,0.0,0.36673842428171644,0.0,0.8188727043257534,0.0,0.0,0.13060627769722816,0.0,0.0,0.0
01-01 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1294991353620918,0.0,0.0,0.5506159876789192,0.15981915776182942,0.0,0.060335620251445815,0.0,0.0,0.44865007722334516,0.0,0.051270406990049755,0.0,0.8986126450788948,0.42227498179944634,0.12931803950868564,0.0,0.0,0.3118066839913492,0.0,0.5381781556757901,0.0,0.0,0.15462547784648184,0.0,0.0,0.0
01-01 02:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034471122704845497,0.0,0.0,0.6366476843532036,0.028712191751807337,0.0,0.0,0.0,0.022896094404256245,0.3251458086847895,0.0,0.04028891131840795,0.0,0.7080004745500673,0.3130690108778654,0.0,0.0,0.0,0.09052025148627824,0.0,0.35346200453528015,0.0,0.0,0.13110487002023238,0.0,0.0,0.0
01-01 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3467065843752571,0.0,0.0,0.0,0.0,0.1444772922579385,0.22581864574196284,0.0,0.02847282199004975,0.0,0.4664971118823285,0.31707769066570735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021887604823685996,0.0,0.0,0.0
01-01 04:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952318975328339,0.0,0.0,0.0,0.0,0.08329735651352364,0.17558466992996494,0.0,0.021479805537313434,0.0,0.3576911144198585,0.33267369824815174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07546770401186244,0.0,0.0,0.0
01-01 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08377347853651032,0.0,0.0,0.0,0.0,0.0,0.16080412014901865,0.0,0.0218663541840796,0.0,0.31829151283832025,0.32424852473962973,0.06599380759406112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15079289240938165,0.0,0.0,0.0
01-01 06:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0826194240446166,0.0,0.0,0.0,0.0,0.0,0.1698224989097359,0.0,0.029570971542288556,0.0,0.3293780765316434,0.3303175408165218,0.08303241518156072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14738042475479743,0.0,0.0,0.0
01-01 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11032172663580854,0.0,0.0,0.0,0.0,0.0,0.18941916617058904,0.0,0.0335506655721393,0.0,0.36944341900566335,0.3299125854346557,0.11841022251072819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06537419731343284,0.0,0.0,0.0
01-01 08:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06916829942657092,0.0,0.0,0.0,0.0,0.0,0.13677202702246544,0.0,0.03676604751243781,0.0,0.28704259285687267,0.3554743945844798,0.13055723695428156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19160632066098082,0.0,0.0,0.0
01-01 09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4182516057032472,0.41590064803804305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 10:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4751150459700078,0.596734467201592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5395880994313155,0.7187268582012627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 12:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6012989892774705,0.7790615402348814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6179205983571341,0.7225185093312116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01 14:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6004107773306882,0.7157068130444498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2244290498933902,0.0,0.0,0.0
01-01 15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5677618098209207,0.7581121249999039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18677831407249465,0.0,0.0,0.0
