,Weight
sti1,764
sti10,6
sti100,139
sti101,150
sti102,29
sti103,4
sti104,2
sti105,71
sti106,8
sti107,65
sti108,53
sti109,5
sti11,2
sti110,39
sti111,8
sti112,19
sti113,46
sti114,73
sti115,44
sti116,135
sti117,11
sti118,34
sti119,3
sti12,2
sti120,35
sti121,3
sti122,29
sti123,44
sti124,4
sti125,67
sti126,23
sti127,20
sti128,1
sti129,6
sti13,40
sti130,869
sti131,44
sti132,5
sti133,8
sti134,24
sti135,2
sti136,30
sti137,15
sti138,1
sti139,12
sti14,4
sti140,4
sti141,6
sti142,39
sti143,23
sti144,22
sti145,81
sti146,5
sti147,22
sti148,7
sti149,4
sti15,5
sti150,5
sti16,11
sti17,3
sti18,2
sti19,23
sti2,144
sti20,25
sti21,132
sti22,2
sti23,76
sti24,22
sti25,17
sti26,9
sti27,16
sti28,59
sti29,84
sti3,18
sti30,37
sti31,2
sti32,8
sti33,858
sti34,2
sti35,3
sti36,2
sti37,53
sti38,3
sti39,3
sti4,2
sti40,46
sti41,43
sti42,22
sti43,31
sti44,149
sti45,40
sti46,8
sti47,6
sti48,31
sti49,39
sti5,3
sti50,7
sti51,20
sti52,96
sti53,209
sti54,49
sti55,47
sti56,622
sti57,201
sti58,740
sti59,69
sti6,195
sti60,37
sti61,16
sti62,5
sti63,168
sti64,2
sti65,1
sti66,21
sti67,1
sti68,45
sti69,12
sti7,47
sti70,3
sti71,7
sti72,3
sti73,44
sti74,5
sti75,10
sti76,119
sti77,40
sti78,9
sti79,6
sti8,54
sti80,1
sti81,20
sti82,46
sti83,26
sti84,20
sti85,5
sti86,7
sti87,128
sti88,23
sti89,21
sti9,70
sti90,4
sti91,37
sti92,5
sti93,8
sti94,20
sti95,44
sti96,2
sti97,5
sti98,11
sti99,68
