,Weight
sti1,113
sti10,1
sti100,1
sti101,5
sti102,138
sti103,252
sti104,241
sti105,5
sti106,3
sti107,162
sti108,1
sti109,3
sti11,1
sti110,155
sti111,1
sti112,333
sti113,203
sti114,3
sti115,5
sti116,1
sti117,1
sti118,1
sti119,1
sti12,190
sti120,1
sti121,1
sti122,1
sti123,153
sti124,56
sti125,147
sti126,1
sti127,2
sti128,2
sti129,2
sti13,2
sti130,1
sti131,1
sti132,2
sti133,3
sti134,170
sti135,1
sti136,1
sti137,1
sti138,70
sti139,1
sti14,5
sti140,1
sti141,38
sti142,2
sti143,2
sti144,74
sti145,58
sti146,230
sti147,76
sti148,1
sti149,192
sti15,1
sti150,63
sti16,1
sti17,1
sti18,1
sti19,221
sti2,2
sti20,6
sti21,3
sti22,141
sti23,2
sti24,205
sti25,238
sti26,2
sti27,3
sti28,3
sti29,4
sti3,171
sti30,1
sti31,1
sti32,1
sti33,125
sti34,1
sti35,301
sti36,1
sti37,2
sti38,1
sti39,2
sti4,1
sti40,253
sti41,5
sti42,1
sti43,3
sti44,88
sti45,116
sti46,1
sti47,6
sti48,177
sti49,230
sti5,5
sti50,213
sti51,2
sti52,4
sti53,11
sti54,3
sti55,185
sti56,1
sti57,5
sti58,58
sti59,1
sti6,250
sti60,253
sti61,103
sti62,1
sti63,196
sti64,1
sti65,87
sti66,4
sti67,285
sti68,10
sti69,4
sti7,1
sti70,1
sti71,116
sti72,1
sti73,1
sti74,1
sti75,3
sti76,3
sti77,6
sti78,1
sti79,4
sti8,2
sti80,157
sti81,6
sti82,134
sti83,1
sti84,203
sti85,114
sti86,4
sti87,151
sti88,1
sti89,1
sti9,212
sti90,165
sti91,1
sti92,1
sti93,3
sti94,2
sti95,1
sti96,1
sti97,97
sti98,1
sti99,155
