,Network_Line_In_N_101_N_102_cac1,Network_Line_In_N_103_N_124_cac1,Network_Line_In_N_106_N_108_cac1,Network_Line_In_N_109_N_111_cac1,Network_Line_In_N_115_N_116_cac1,Network_Line_In_N_116_N_117_cac1,Network_Line_In_N_117_N_118_cac1,Network_Line_In_N_118_N_121_cac1,,,,,,,,,
0,5.68E-05,5.58E-06,1.74E-04,-1.01E-04,-0.000164978,0.00088498,0.00036981,0.001015373,,,,,,,,,
1,4.40E-05,-7.27165E-06,1.51E-04,-8.37E-05,-0.000185046,0.000906248,0.00037488,0.000942331,,,,,,,,,
2,2.06E-05,-4.39E-05,1.24E-04,-7.24E-05,-0.000220492,0.00086572,0.000326958,0.000861284,,,,,,,,,
3,1.55E-05,-3.27E-05,7.66E-05,-1.32E-04,-0.000181261,0.000857953,0.00034612,0.000678156,,,,,,,,,
4,-3.61725E-05,-1.18E-04,-2.54E-05,-1.12E-04,-0.000208244,0.000761423,0.000251524,0.000580683,,,,,,,,,
5,-4.62681E-05,-1.27E-04,-1.44E-05,-9.86E-05,-0.000204403,0.000756834,0.000258274,0.000608634,,,,,,,,,
6,4.36E-06,-4.30E-05,6.51E-05,-1.12E-04,-0.000170998,0.000822872,0.000325803,0.000687189,,,,,,,,,
7,6.77E-05,7.37E-06,1.05E-04,-7.92E-05,-0.000161141,0.000829499,0.000345483,0.000832014,,,,,,,,,
8,-1.78E-05,-5.99E-05,1.09E-04,-3.19E-05,-0.000239186,0.00076947,0.000283547,0.000957053,,,,,,,,,
9,-1.45E-05,-5.31E-05,0.000113175,-3.83E-05,-0.000230502,0.000809074,0.000306241,0.000903689,,,,,,,,,
10,-3.20E-05,-6.67E-05,1.03E-04,-8.15E-05,-0.000174333,0.000898436,0.000356313,0.000794787,,,,,,,,,
11,-2.81E-05,-7.32E-05,9.18E-05,-1.01E-04,-0.000154868,0.000882551,0.000329971,0.000699636,,,,,,,,,
12,-1.36E-05,-7.37E-05,7.54E-05,-9.56E-05,-0.000140496,0.000894725,0.000330355,0.000678346,,,,,,,,,
13,-1.81E-05,-7.56E-05,6.93E-05,-7.10E-05,-0.000139721,0.000895232,0.000330046,0.00069074,,,,,,,,,
14,1.46E-05,-4.18E-05,6.60E-05,-4.52E-05,-0.000102665,0.000922524,0.000341505,0.00070592,,,,,,,,,
15,1.19915E-05,-5.35E-05,2.13E-05,-1.15E-04,-1.12E-04,0.000934057,0.000332124,0.000587783,,,,,,,,,
16,-1.12E-05,-8.49E-05,1.66E-05,-1.58E-04,-7.91E-05,0.0009376,0.000328276,0.000677537,,,,,,,,,
17,4.54E-05,-5.06E-05,1.17E-04,-1.77E-04,-5.71E-05,0.001009524,0.000359986,0.001023472,,,,,,,,,
18,4.97E-05,-4.72E-05,1.04E-04,-1.47E-04,-6.38E-05,0.000938427,0.000355635,0.001154799,,,,,,,,,
19,5.02E-05,-5.46E-05,1.01E-04,-1.36E-04,-5.29E-05,0.00094739,0.000356876,0.001156203,,,,,,,,,
20,5.32E-05,-6.67E-05,0.000161394,-1.10E-04,-4.79E-05,0.000966527,0.00036792,0.001149799,,,,,,,,,
21,1.66E-05,-8.56E-05,0.000250381,-3.95E-05,-1.02E-04,0.000928998,0.000355258,0.001058121,,,,,,,,,
22,4.62E-05,-3.43E-05,0.000254966,-1.06E-05,-0.000114646,0.000900042,0.000375279,0.00103397,,,,,,,,,
23,5.79E-05,6.69E-06,1.96E-04,-4.53E-05,-0.000149984,0.000924256,0.000401937,0.001015183,,,,,,,,,
24,2.02E-05,-3.11E-05,1.52E-04,-8.27E-05,-0.000205651,0.000915755,0.000379674,0.000924531,,,,,,,,,
25,3.44E-05,-3.36E-05,1.26E-04,-6.28E-05,-0.00020678,0.000876922,0.000328787,0.000824205,,,,,,,,,
