,Weight
sti1,1293
sti10,3
sti11,143
sti12,59
sti13,3
sti14,1540
sti15,19
sti16,5
sti17,6
sti18,207
sti19,96
sti2,183
sti20,58
sti21,257
sti22,397
sti23,51
sti24,19
sti25,3
sti26,4
sti27,217
sti28,34
sti29,13
sti3,156
sti30,5
sti31,266
sti32,61
sti33,87
sti34,73
sti35,130
sti36,330
sti37,9
sti38,163
sti39,81
sti4,197
sti40,29
sti41,10
sti42,252
sti43,90
sti44,95
sti45,2
sti46,1164
sti47,45
sti48,45
sti49,21
sti5,6
sti50,41
sti51,292
sti52,24
sti53,9
sti54,11
sti55,18
sti56,226
sti57,27
sti58,23
sti59,25
sti6,21
sti60,28
sti7,14
sti8,45
sti9,5
