,Weight
sti1,66
sti10,1
sti100,1
sti101,116
sti102,1
sti103,2
sti104,1
sti105,1
sti106,1
sti107,1
sti108,149
sti109,1
sti11,149
sti110,1
sti111,133
sti112,1
sti113,3
sti114,1
sti115,1
sti116,193
sti117,129
sti118,1
sti119,1
sti12,3
sti120,1
sti121,2
sti122,1
sti123,1
sti124,1
sti125,1
sti126,1
sti127,2
sti128,1
sti129,1
sti13,2
sti130,1
sti131,1
sti132,1
sti133,1
sti134,1
sti135,1
sti136,1
sti137,3
sti138,1
sti139,1
sti14,1
sti140,1
sti141,1
sti142,1
sti143,1
sti144,135
sti145,1
sti146,149
sti147,1
sti148,2
sti149,1
sti15,1
sti150,1
sti151,1
sti152,1
sti153,108
sti154,1
sti155,1
sti156,1
sti157,140
sti158,1
sti159,1
sti16,85
sti160,1
sti161,1
sti162,1
sti163,1
sti164,2
sti165,1
sti166,1
sti167,2
sti168,38
sti169,1
sti17,1
sti170,128
sti171,1
sti172,77
sti173,1
sti174,71
sti175,92
sti176,175
sti177,1
sti178,1
sti179,137
sti18,1
sti180,1
sti181,1
sti182,1
sti183,1
sti184,1
sti185,1
sti186,1
sti187,1
sti188,70
sti189,1
sti19,1
sti190,113
sti191,1
sti192,2
sti193,1
sti194,1
sti195,1
sti196,167
sti197,156
sti198,1
sti199,1
sti2,3
sti20,1
sti200,1
sti201,1
sti202,1
sti203,1
sti204,1
sti205,1
sti206,188
sti207,1
sti208,1
sti209,1
sti21,1
sti210,1
sti211,3
sti212,1
sti213,153
sti214,114
sti215,37
sti216,1
sti217,1
sti218,140
sti219,1
sti22,4
sti220,1
sti221,107
sti222,123
sti223,4
sti224,114
sti225,1
sti226,1
sti227,136
sti228,123
sti229,3
sti23,1
sti230,38
sti231,1
sti232,1
sti233,120
sti234,88
sti235,1
sti236,1
sti237,1
sti238,1
sti239,85
sti24,1
sti240,1
sti241,92
sti242,146
sti243,1
sti244,2
sti245,1
sti246,113
sti247,1
sti248,158
sti249,3
sti25,165
sti250,134
sti251,1
sti252,41
sti253,1
sti254,168
sti255,1
sti256,1
sti257,88
sti258,1
sti259,121
sti26,1
sti260,1
sti261,118
sti262,1
sti263,1
sti264,85
sti265,1
sti266,1
sti267,86
sti268,1
sti269,87
sti27,2
sti270,1
sti271,1
sti272,66
sti273,3
sti274,74
sti275,1
sti276,1
sti277,116
sti278,50
sti279,1
sti28,3
sti280,127
sti281,138
sti282,132
sti283,180
sti284,62
sti285,2
sti286,41
sti287,1
sti288,2
sti289,1
sti29,2
sti290,1
sti291,138
sti292,132
sti293,107
sti294,64
sti295,1
sti296,1
sti297,1
sti298,1
sti299,1
sti3,54
sti30,1
sti300,65
sti31,1
sti32,1
sti33,1
sti34,75
sti35,2
sti36,1
sti37,1
sti38,1
sti39,1
sti4,1
sti40,2
sti41,1
sti42,1
sti43,1
sti44,1
sti45,1
sti46,1
sti47,1
sti48,1
sti49,94
sti5,1
sti50,1
sti51,125
sti52,1
sti53,1
sti54,1
sti55,1
sti56,97
sti57,1
sti58,1
sti59,1
sti6,1
sti60,129
sti61,1
sti62,2
sti63,1
sti64,2
sti65,2
sti66,1
sti67,1
sti68,1
sti69,1
sti7,1
sti70,1
sti71,1
sti72,1
sti73,1
sti74,1
sti75,1
sti76,1
sti77,1
sti78,2
sti79,1
sti8,1
sti80,1
sti81,122
sti82,1
sti83,1
sti84,2
sti85,1
sti86,3
sti87,1
sti88,1
sti89,97
sti9,1
sti90,1
sti91,1
sti92,1
sti93,1
sti94,1
sti95,99
sti96,138
sti97,1
sti98,1
sti99,1
