,Weight
sti1,39
sti10,2
sti100,41
sti101,68
sti102,1
sti103,1
sti104,1
sti105,2
sti106,14
sti107,60
sti108,1
sti109,1
sti11,3
sti110,19
sti111,1
sti112,2
sti113,44
sti114,1
sti115,67
sti116,2
sti117,62
sti118,20
sti119,1
sti12,1
sti120,65
sti121,1
sti122,1
sti123,1
sti124,1
sti125,3
sti126,128
sti127,77
sti128,111
sti129,2
sti13,79
sti130,1
sti131,58
sti132,24
sti133,70
sti134,2
sti135,2
sti136,16
sti137,4
sti138,58
sti139,1
sti14,2
sti140,1
sti141,1
sti142,1
sti143,1
sti144,1
sti145,2
sti146,1
sti147,1
sti148,1
sti149,77
sti15,1
sti150,1
sti151,1
sti152,2
sti153,1
sti154,34
sti155,1
sti156,38
sti157,1
sti158,1
sti159,1
sti16,1
sti160,34
sti161,19
sti162,1
sti163,4
sti164,1
sti165,1
sti166,53
sti167,1
sti168,1
sti169,1
sti17,80
sti170,73
sti171,34
sti172,34
sti173,31
sti174,41
sti175,12
sti176,58
sti177,1
sti178,24
sti179,59
sti18,1
sti180,102
sti181,29
sti182,1
sti183,13
sti184,49
sti185,25
sti186,15
sti187,1
sti188,1
sti189,1
sti19,1
sti190,41
sti191,1
sti192,1
sti193,65
sti194,10
sti195,1
sti196,1
sti197,106
sti198,2
sti199,1
sti2,1
sti20,73
sti200,1
sti201,46
sti202,23
sti203,59
sti204,1
sti205,37
sti206,1
sti207,103
sti208,85
sti209,78
sti21,1
sti210,2
sti211,9
sti212,1
sti213,92
sti214,7
sti215,98
sti216,1
sti217,2
sti218,77
sti219,56
sti22,1
sti220,1
sti221,39
sti222,51
sti223,1
sti224,47
sti225,16
sti226,25
sti227,26
sti228,1
sti229,70
sti23,42
sti230,27
sti231,1
sti232,1
sti233,38
sti234,64
sti235,79
sti236,1
sti237,81
sti238,56
sti239,75
sti24,71
sti240,1
sti241,52
sti242,1
sti243,1
sti244,23
sti245,51
sti246,54
sti247,139
sti248,1
sti249,60
sti25,1
sti250,2
sti251,14
sti252,2
sti253,1
sti254,1
sti255,1
sti256,55
sti257,1
sti258,1
sti259,27
sti26,1
sti260,1
sti261,1
sti262,1
sti263,50
sti264,5
sti265,1
sti266,1
sti267,5
sti268,2
sti269,58
sti27,1
sti270,67
sti271,58
sti272,1
sti273,1
sti274,2
sti275,107
sti276,60
sti277,46
sti278,49
sti279,102
sti28,1
sti280,1
sti281,1
sti282,49
sti283,1
sti284,1
sti285,1
sti286,1
sti287,1
sti288,2
sti289,1
sti29,1
sti290,1
sti291,31
sti292,13
sti293,1
sti294,1
sti295,44
sti296,1
sti297,38
sti298,1
sti299,54
sti3,88
sti30,1
sti300,27
sti301,25
sti302,14
sti303,24
sti304,1
sti305,1
sti306,89
sti307,1
sti308,1
sti309,32
sti31,43
sti310,1
sti311,1
sti312,91
sti313,1
sti314,1
sti315,102
sti316,28
sti317,30
sti318,44
sti319,56
sti32,1
sti320,3
sti321,42
sti322,23
sti323,117
sti324,45
sti325,80
sti326,25
sti327,18
sti328,15
sti329,21
sti33,91
sti330,29
sti331,41
sti332,1
sti333,1
sti334,15
sti335,73
sti336,18
sti337,1
sti338,74
sti339,41
sti34,64
sti340,1
sti341,2
sti342,50
sti343,62
sti344,14
sti345,28
sti346,1
sti347,34
sti348,18
sti349,16
sti35,1
sti350,39
sti36,21
sti37,1
sti38,1
sti39,42
sti4,1
sti40,3
sti41,2
sti42,1
sti43,1
sti44,1
sti45,1
sti46,1
sti47,37
sti48,1
sti49,92
sti5,135
sti50,1
sti51,17
sti52,100
sti53,1
sti54,1
sti55,1
sti56,1
sti57,109
sti58,1
sti59,1
sti6,2
sti60,2
sti61,1
sti62,2
sti63,58
sti64,48
sti65,1
sti66,1
sti67,1
sti68,1
sti69,2
sti7,1
sti70,49
sti71,88
sti72,1
sti73,59
sti74,1
sti75,1
sti76,1
sti77,30
sti78,69
sti79,1
sti8,1
sti80,1
sti81,22
sti82,1
sti83,1
sti84,2
sti85,1
sti86,3
sti87,1
sti88,1
sti89,1
sti9,38
sti90,29
sti91,1
sti92,1
sti93,1
sti94,139
sti95,62
sti96,1
sti97,141
sti98,1
sti99,101
