,Weight
sti1,942
sti10,8
sti11,3
sti12,793
sti13,4
sti14,3
sti15,3
sti16,11
sti17,379
sti18,1
sti19,6
sti2,1
sti20,5
sti21,1
sti22,20
sti23,7
sti24,5
sti25,7
sti26,1030
sti27,2
sti28,1
sti29,6
sti3,497
sti30,2
sti31,6
sti32,1015
sti33,12
sti34,1
sti35,1
sti36,862
sti37,1
sti38,1
sti39,2
sti4,2
sti40,8
sti41,6
sti42,6
sti43,852
sti44,953
sti45,8
sti46,580
sti47,2
sti48,2
sti49,10
sti5,5
sti50,2
sti51,1
sti52,6
sti53,9
sti54,3
sti55,11
sti56,4
sti57,4
sti58,3
sti59,579
sti6,2
sti60,1
sti61,5
sti62,2
sti63,10
sti64,1
sti65,1
sti66,5
sti67,6
sti68,1
sti69,1
sti7,2
sti70,1
sti8,3
sti9,1
