,,,N_101,N_101,N_101,N_102,N_102,N_103,N_103,N_104,N_105,N_106,N_107,N_108,N_108,N_109,N_109,N_110,N_110,N_111,N_111,N_112,N_112,N_113,N_114,N_115,N_115,N_115,N_115,N_116,N_116,N_117,N_117,N_118,N_118,N_119,N_119,N_120,N_120,N_121,N_101,N_101,N_101,N_102,N_102,N_103,N_103,N_104,N_105,N_106,N_106,N_107,N_108,N_108,N_109,N_109,N_110,N_110,N_111,N_111,N_112,N_112,N_113,N_114,N_115,N_115,N_115,N_115,N_116,N_116,N_117,N_117,N_118,N_118,N_119,N_119,N_120,N_120,N_121
,,,N_102,N_103,N_105,N_104,N_106,N_109,N_124,N_109,N_110,N_110,N_108,N_109,N_110,N_111,N_112,N_111,N_112,N_113,N_114,N_113,N_123,N_123,N_116,N_116,N_121,N_121,N_124,N_117,N_119,N_118,N_122,N_121,N_121,N_120,N_120,N_123,N_123,N_122,N_102,N_103,N_105,N_104,N_106,N_109,N_124,N_109,N_110,N_108,N_110,N_108,N_109,N_110,N_111,N_112,N_111,N_112,N_113,N_114,N_113,N_123,N_123,N_116,N_116,N_121,N_121,N_124,N_117,N_119,N_118,N_122,N_121,N_121,N_120,N_120,N_123,N_123,N_122
,,,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac1,eac2,eac1,eac1,eac1,eac1,eac1,eac1,eac2,eac1,eac2,eac1,eac2,eac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac1,cac2,cac1,cac1,cac1,cac1,cac1,cac1,cac2,cac1,cac2,cac1,cac2,cac1
,,,Network_Line_In_N_101_N_102_eac1,Network_Line_In_N_101_N_103_eac1,Network_Line_In_N_101_N_105_eac1,Network_Line_In_N_102_N_104_eac1,Network_Line_In_N_102_N_106_eac1,Network_Line_In_N_103_N_109_eac1,Network_Line_In_N_103_N_124_eac1,Network_Line_In_N_104_N_109_eac1,Network_Line_In_N_105_N_110_eac1,Network_Line_In_N_106_N_110_eac1,Network_Line_In_N_107_N_108_eac1,Network_Line_In_N_108_N_109_eac1,Network_Line_In_N_108_N_110_eac1,Network_Line_In_N_109_N_111_eac1,Network_Line_In_N_109_N_112_eac1,Network_Line_In_N_110_N_111_eac1,Network_Line_In_N_110_N_112_eac1,Network_Line_In_N_111_N_113_eac1,Network_Line_In_N_111_N_114_eac1,Network_Line_In_N_112_N_113_eac1,Network_Line_In_N_112_N_123_eac1,Network_Line_In_N_113_N_123_eac1,Network_Line_In_N_114_N_116_eac1,Network_Line_In_N_115_N_116_eac1,Network_Line_In_N_115_N_121_eac1,Network_Line_In_N_115_N_121_eac2,Network_Line_In_N_115_N_124_eac1,Network_Line_In_N_116_N_117_eac1,Network_Line_In_N_116_N_119_eac1,Network_Line_In_N_117_N_118_eac1,Network_Line_In_N_117_N_122_eac1,Network_Line_In_N_118_N_121_eac1,Network_Line_In_N_118_N_121_eac2,Network_Line_In_N_119_N_120_eac1,Network_Line_In_N_119_N_120_eac2,Network_Line_In_N_120_N_123_eac1,Network_Line_In_N_120_N_123_eac2,Network_Line_In_N_121_N_122_eac1,Network_Line_In_N_101_N_102_cac1,Network_Line_In_N_101_N_103_cac1,Network_Line_In_N_101_N_105_cac1,Network_Line_In_N_102_N_104_cac1,Network_Line_In_N_102_N_106_cac1,Network_Line_In_N_103_N_109_cac1,Network_Line_In_N_103_N_124_cac1,Network_Line_In_N_104_N_109_cac1,Network_Line_In_N_105_N_110_cac1,Network_Line_In_N_106_N_108_cac1,Network_Line_In_N_106_N_110_cac1,Network_Line_In_N_107_N_108_cac1,Network_Line_In_N_108_N_109_cac1,Network_Line_In_N_108_N_110_cac1,Network_Line_In_N_109_N_111_cac1,Network_Line_In_N_109_N_112_cac1,Network_Line_In_N_110_N_111_cac1,Network_Line_In_N_110_N_112_cac1,Network_Line_In_N_111_N_113_cac1,Network_Line_In_N_111_N_114_cac1,Network_Line_In_N_112_N_113_cac1,Network_Line_In_N_112_N_123_cac1,Network_Line_In_N_113_N_123_cac1,Network_Line_In_N_114_N_116_cac1,Network_Line_In_N_115_N_116_cac1,Network_Line_In_N_115_N_121_cac1,Network_Line_In_N_115_N_121_cac2,Network_Line_In_N_115_N_124_cac1,Network_Line_In_N_116_N_117_cac1,Network_Line_In_N_116_N_119_cac1,Network_Line_In_N_117_N_118_cac1,Network_Line_In_N_117_N_122_cac1,Network_Line_In_N_118_N_121_cac1,Network_Line_In_N_118_N_121_cac2,Network_Line_In_N_119_N_120_cac1,Network_Line_In_N_119_N_120_cac2,Network_Line_In_N_120_N_123_cac1,Network_Line_In_N_120_N_123_cac2,Network_Line_In_N_121_N_122_cac1
2030,sc01,01-01 00:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001395598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 01:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001395494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 02:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001397029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 03:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001410723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 04:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001430064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 05:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000896633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 06:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000667453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 07:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000830829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 08:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001067325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 09:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001067311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 10:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001067325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 11:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001067311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 12:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001067325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 13:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001067325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 14:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001067325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 15:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001067325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 16:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000990331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 17:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001095742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 18:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001083985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 19:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001150504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 20:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00119859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,sc01,01-01 21:00:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001110941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
