,Weight
sti1,612
sti10,6
sti100,81
sti101,92
sti102,16
sti103,3
sti104,2
sti105,70
sti106,7
sti107,39
sti108,43
sti109,5
sti11,2
sti110,15
sti111,2
sti112,7
sti113,44
sti114,66
sti115,42
sti116,93
sti117,7
sti118,27
sti119,2
sti12,2
sti120,18
sti121,1
sti122,20
sti123,42
sti124,4
sti125,65
sti126,22
sti127,8
sti128,1
sti129,6
sti13,36
sti130,604
sti131,23
sti132,4
sti133,6
sti134,24
sti135,2
sti136,28
sti137,10
sti138,1
sti139,8
sti14,4
sti140,2
sti141,6
sti142,29
sti143,22
sti144,10
sti145,54
sti146,5
sti147,12
sti148,6
sti149,3
sti15,5
sti150,5
sti151,7
sti152,3
sti153,13
sti154,15
sti155,7
sti156,12
sti157,7
sti158,6
sti159,2
sti16,7
sti160,120
sti161,8
sti162,3
sti163,5
sti164,15
sti165,2
sti166,14
sti167,1
sti168,15
sti169,5
sti17,2
sti170,1
sti171,13
sti172,6
sti173,7
sti174,49
sti175,27
sti176,3
sti177,49
sti178,25
sti179,11
sti18,1
sti180,2
sti181,8
sti182,31
sti183,425
sti184,66
sti185,7
sti186,14
sti187,9
sti188,23
sti189,4
sti19,21
sti190,40
sti191,4
sti192,26
sti193,2
sti194,8
sti195,18
sti196,1
sti197,7
sti198,542
sti199,9
sti2,108
sti20,19
sti200,1
sti201,5
sti202,19
sti203,1
sti204,8
sti205,36
sti206,23
sti207,1
sti208,9
sti209,7
sti21,108
sti210,13
sti211,4
sti212,5
sti213,2
sti214,2
sti215,45
sti216,1
sti217,84
sti218,17
sti219,8
sti22,2
sti220,14
sti221,19
sti222,3
sti223,29
sti224,9
sti225,12
sti226,7
sti227,1
sti228,1
sti229,1
sti23,33
sti230,5
sti231,2
sti232,99
sti233,22
sti234,7
sti235,30
sti236,59
sti237,1
sti238,1
sti239,4
sti24,18
sti240,5
sti241,1
sti242,1
sti243,7
sti244,8
sti245,13
sti246,84
sti247,98
sti248,4
sti249,17
sti25,4
sti250,65
sti26,1
sti27,12
sti28,55
sti29,57
sti3,16
sti30,22
sti31,2
sti32,9
sti33,603
sti34,2
sti35,3
sti36,2
sti37,50
sti38,2
sti39,3
sti4,2
sti40,31
sti41,8
sti42,14
sti43,31
sti44,119
sti45,34
sti46,4
sti47,6
sti48,18
sti49,15
sti5,1
sti50,3
sti51,13
sti52,62
sti53,109
sti54,19
sti55,34
sti56,391
sti57,89
sti58,569
sti59,30
sti6,131
sti60,29
sti61,8
sti62,3
sti63,89
sti64,2
sti65,1
sti66,20
sti67,1
sti68,45
sti69,10
sti7,24
sti70,3
sti71,7
sti72,1
sti73,12
sti74,2
sti75,4
sti76,93
sti77,41
sti78,9
sti79,5
sti8,20
sti80,1
sti81,11
sti82,36
sti83,17
sti84,17
sti85,3
sti86,7
sti87,112
sti88,17
sti89,14
sti9,24
sti90,3
sti91,17
sti92,4
sti93,6
sti94,17
sti95,33
sti96,1
sti97,4
sti98,9
sti99,61
