,Weight
sti1,87
sti10,89
sti11,38
sti12,101
sti13,92
sti14,314
sti15,60
sti16,254
sti17,208
sti18,20
sti19,35
sti2,111
sti20,340
sti21,126
sti22,90
sti23,43
sti24,16
sti25,285
sti26,56
sti27,288
sti28,109
sti29,151
sti3,14
sti30,18
sti31,17
sti32,32
sti33,122
sti34,84
sti35,62
sti36,62
sti37,269
sti38,103
sti39,44
sti4,60
sti40,108
sti41,276
sti42,286
sti43,24
sti44,290
sti45,27
sti46,38
sti47,50
sti48,23
sti49,98
sti5,106
sti50,266
sti51,30
sti52,140
sti53,288
sti54,48
sti55,58
sti56,120
sti57,29
sti58,78
sti59,22
sti6,42
sti60,46
sti61,29
sti62,94
sti63,76
sti64,117
sti65,91
sti66,89
sti67,31
sti68,97
sti69,122
sti7,292
sti70,87
sti71,58
sti72,47
sti73,92
sti74,136
sti75,43
sti76,303
sti77,99
sti78,85
sti79,56
sti8,317
sti80,34
sti9,48
