LoadLevel,Duration,Stage
01-01 00:00:00+01:00,1,sti2989
01-01 01:00:00+01:00,1,sti106
01-01 02:00:00+01:00,1,sti1681
01-01 03:00:00+01:00,1,sti3472
01-01 04:00:00+01:00,1,sti370
01-01 05:00:00+01:00,0,sti370
01-01 06:00:00+01:00,0,sti1809
01-01 07:00:00+01:00,1,sti1809
01-01 08:00:00+01:00,0,sti71
01-01 09:00:00+01:00,1,sti960
01-01 10:00:00+01:00,1,sti847
01-01 11:00:00+01:00,1,sti149
01-01 12:00:00+01:00,1,sti1390
01-01 13:00:00+01:00,0,sti1390
01-01 14:00:00+01:00,0,sti1390
01-01 15:00:00+01:00,1,sti988
01-01 16:00:00+01:00,1,sti1012
01-01 17:00:00+01:00,1,sti1201
01-01 18:00:00+01:00,0,sti3594
01-01 19:00:00+01:00,0,sti171
01-01 20:00:00+01:00,1,sti3320
01-01 21:00:00+01:00,0,sti3535
01-01 22:00:00+01:00,0,sti188
01-01 23:00:00+01:00,0,sti3393
01-02 00:00:00+01:00,1,sti3001
01-02 01:00:00+01:00,0,sti71
01-02 02:00:00+01:00,1,sti71
01-02 03:00:00+01:00,0,sti71
01-02 04:00:00+01:00,1,sti644
01-02 05:00:00+01:00,0,sti2286
01-02 06:00:00+01:00,0,sti3594
01-02 07:00:00+01:00,0,stp265
01-02 08:00:00+01:00,0,stp234
01-02 09:00:00+01:00,1,stp164
01-02 10:00:00+01:00,1,stp200
01-02 11:00:00+01:00,0,stp374
01-02 12:00:00+01:00,1,stp245
01-02 13:00:00+01:00,0,stp245
01-02 14:00:00+01:00,1,stp374
01-02 15:00:00+01:00,0,stp100
01-02 16:00:00+01:00,0,stp93
01-02 17:00:00+01:00,0,stp377
01-02 18:00:00+01:00,0,stp5
01-02 19:00:00+01:00,1,stp171
01-02 20:00:00+01:00,0,stp25
01-02 21:00:00+01:00,0,stp228
01-02 22:00:00+01:00,0,stp33
01-02 23:00:00+01:00,0,sti1188
01-03 00:00:00+01:00,1,sti340
01-03 01:00:00+01:00,0,sti876
01-03 02:00:00+01:00,1,sti876
01-03 03:00:00+01:00,0,sti876
01-03 04:00:00+01:00,1,sti2286
01-03 05:00:00+01:00,1,sti3594
