,,,Length,LineType,InitialPeriod,FinalPeriod,Voltage,LossFactor,Resistance,Reactance,Susceptance,Tap,TTC,TTCBck,SecurityFactor,FixedInvestmentCost,FixedChargeRate,BinaryInvestment,Switching,SwOnTime,SwOffTime,Converter,AngMin,AngMax,InvestmentLo,InvestmentUp,Sensitivity,InvestmentFixed,SensitivityGroup,SensitivityGroupValue
bus001,bus002,eac1,,AC,2020,2050,100,,0.0303,0.0999,0.0254,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus001,bus003,eac1,,AC,2020,2050,100,,0.0129,0.0424,0.01082,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus004,bus005,eac1,,AC,2020,2050,100,,0.00176,0.00798,0.0021,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus006,bus007,eac1,,AC,2020,2050,100,,0.00459,0.0208,0.0055,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus004,bus011,eac1,,AC,2020,2050,100,,0.0209,0.0688,0.01748,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus005,bus011,eac1,,AC,2020,2050,100,,0.0203,0.0682,0.01738,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus011,bus012,eac1,,AC,2020,2050,100,,0.00595,0.0196,0.00502,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus002,bus012,eac1,,AC,2020,2050,100,,0.0187,0.0616,0.01572,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus003,bus012,eac1,,AC,2020,2050,100,,0.0484,0.16,0.0406,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus007,bus012,eac1,,AC,2020,2050,100,,0.00862,0.034,0.00874,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus011,bus013,eac1,,AC,2020,2050,100,,0.02225,0.0731,0.01876,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus012,bus014,eac1,,AC,2020,2050,100,,0.0215,0.0707,0.01816,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus013,bus015,eac1,,AC,2020,2050,100,,0.0744,0.2444,0.06268,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus014,bus015,eac1,,AC,2020,2050,100,,0.0595,0.195,0.0502,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus012,bus016,eac1,,AC,2020,2050,100,,0.0212,0.0834,0.0214,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus015,bus017,eac1,,AC,2020,2050,100,,0.0132,0.0437,0.0444,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus016,bus017,eac1,,AC,2020,2050,100,,0.0454,0.1801,0.0466,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus017,bus018,eac1,,AC,2020,2050,100,,0.0123,0.0505,0.01298,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus018,bus019,eac1,,AC,2020,2050,100,,0.01119,0.0493,0.01142,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus019,bus020,eac1,,AC,2020,2050,100,,0.0252,0.117,0.0298,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus015,bus019,eac1,,AC,2020,2050,100,,0.012,0.0394,0.0101,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus020,bus021,eac1,,AC,2020,2050,100,,0.0183,0.0849,0.0216,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus021,bus022,eac1,,AC,2020,2050,100,,0.0209,0.097,0.0246,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus022,bus023,eac1,,AC,2020,2050,100,,0.0342,0.159,0.0404,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus023,bus024,eac1,,AC,2020,2050,100,,0.0135,0.0492,0.0498,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus023,bus025,eac1,,AC,2020,2050,100,,0.0156,0.08,0.0864,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus026,bus025,eac1,,AC,2020,2050,100,,0,0.0382,0,0.96,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus025,bus027,eac1,,AC,2020,2050,100,,0.0318,0.163,0.1764,1,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus027,bus028,eac1,,AC,2020,2050,100,,0.01913,0.0855,0.0216,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus028,bus029,eac1,,AC,2020,2050,100,,0.0237,0.0943,0.0238,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus030,bus017,eac1,,AC,2020,2050,100,,0,0.0388,0,0.96,1700,1700,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus008,bus030,eac1,,AC,2020,2050,100,,0.00431,0.0504,0.514,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus017,bus031,eac1,,AC,2020,2050,100,,0.0474,0.1563,0.0399,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus029,bus031,eac1,,AC,2020,2050,100,,0.0108,0.0331,0.0083,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus031,bus032,eac1,,AC,2020,2050,100,,0.0298,0.0985,0.0251,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus027,bus032,eac1,,AC,2020,2050,100,,0.0229,0.0755,0.01926,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus015,bus033,eac1,,AC,2020,2050,100,,0.038,0.1244,0.03194,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus019,bus034,eac1,,AC,2020,2050,100,,0.0752,0.247,0.0632,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus035,bus036,eac1,,AC,2020,2050,100,,0.00224,0.0102,0.00268,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
bus035,bus037,eac1,,AC,2020,2050,100,,0.011,0.0497,0.01318,1,600,600,0.67,,,,,,,,-1.047197551,1.047197551,,,,,,
