,Weight
sti1,78
sti10,38
sti100,37
sti101,65
sti102,21
sti103,60
sti104,73
sti105,37
sti106,35
sti107,50
sti108,64
sti109,38
sti11,110
sti110,34
sti111,30
sti112,49
sti113,45
sti114,56
sti115,43
sti116,43
sti117,52
sti118,35
sti119,61
sti12,35
sti120,61
sti121,19
sti122,34
sti123,75
sti124,34
sti125,52
sti126,33
sti127,12
sti128,67
sti129,54
sti13,61
sti130,36
sti131,27
sti132,67
sti133,19
sti134,37
sti135,56
sti136,33
sti137,58
sti138,63
sti139,28
sti14,55
sti140,56
sti141,26
sti142,27
sti143,25
sti144,41
sti145,58
sti146,40
sti147,37
sti148,68
sti149,49
sti15,54
sti150,53
sti151,59
sti152,20
sti153,33
sti154,14
sti155,41
sti156,33
sti157,20
sti158,39
sti159,43
sti16,27
sti160,40
sti161,20
sti162,14
sti163,65
sti164,32
sti165,52
sti166,68
sti167,31
sti168,20
sti169,34
sti17,38
sti170,40
sti171,35
sti172,50
sti173,87
sti174,33
sti175,32
sti176,19
sti177,33
sti178,31
sti179,40
sti18,52
sti180,41
sti181,69
sti182,28
sti183,30
sti184,40
sti185,27
sti186,49
sti187,10
sti188,24
sti189,18
sti19,82
sti190,25
sti191,19
sti192,23
sti193,20
sti194,35
sti195,15
sti196,66
sti197,44
sti198,43
sti199,42
sti2,13
sti20,36
sti200,51
sti21,56
sti22,15
sti23,38
sti24,110
sti25,41
sti26,41
sti27,41
sti28,29
sti29,45
sti3,34
sti30,52
sti31,19
sti32,26
sti33,104
sti34,50
sti35,52
sti36,50
sti37,33
sti38,34
sti39,45
sti4,61
sti40,118
sti41,30
sti42,102
sti43,58
sti44,11
sti45,61
sti46,35
sti47,53
sti48,54
sti49,58
sti5,61
sti50,33
sti51,20
sti52,20
sti53,50
sti54,50
sti55,35
sti56,67
sti57,60
sti58,61
sti59,85
sti6,58
sti60,22
sti61,47
sti62,31
sti63,35
sti64,50
sti65,38
sti66,38
sti67,56
sti68,45
sti69,56
sti7,36
sti70,50
sti71,41
sti72,30
sti73,56
sti74,31
sti75,52
sti76,27
sti77,31
sti78,40
sti79,49
sti8,42
sti80,31
sti81,55
sti82,35
sti83,54
sti84,34
sti85,64
sti86,27
sti87,50
sti88,71
sti89,46
sti9,57
sti90,45
sti91,36
sti92,15
sti93,31
sti94,48
sti95,32
sti96,84
sti97,50
sti98,30
sti99,33
