Unnamed: 0,Node,InitialPeriod,FinalPeriod,Gshb,Bshb,FixedCost,FixedChargeRate,BinaryInvestment,InvestmentLo,InvestmentUp,Sensitivity,InvestmentFixed,SensitivityGroup,SensitivityGroupValue
BusBshb_001e,bus005,2020,2050,0,-0.4,,,,,,,,,
BusBshb_002e,bus034,2020,2050,0,0.14,,,,,,,,,
BusBshb_003e,bus037,2020,2050,0,-0.25,,,,,,,,,
BusBshb_004e,bus044,2020,2050,0,0.1,,,,,,,,,
BusBshb_005e,bus045,2020,2050,0,0.1,,,,,,,,,
BusBshb_006e,bus046,2020,2050,0,0.1,,,,,,,,,
BusBshb_007e,bus048,2020,2050,0,0.15,,,,,,,,,
BusBshb_008e,bus074,2020,2050,0,0.12,,,,,,,,,
BusBshb_009e,bus079,2020,2050,0,0.2,,,,,,,,,
BusBshb_010e,bus082,2020,2050,0,0.2,,,,,,,,,
BusBshb_011e,bus083,2020,2050,0,0.1,,,,,,,,,
BusBshb_012e,bus105,2020,2050,0,0.2,,,,,,,,,
BusBshb_013e,bus107,2020,2050,0,0.06,,,,,,,,,
BusBshb_014e,bus110,2020,2050,0,0.06,,,,,,,,,
