,LoadLevel,Geo 01,Hydro 19,Hydro 20,Hydro 21,Hydro 22,Hydro 23,Hydro 24,Hydro 25,Hydro 26,Hydro 27,Hydro 28,Hydro 29,Hydro 33,Hydro 34,Hydro 40,Hydro 41,Hydro 42,Hydro 43,Solar 01,Solar 02,Solar 03,Solar 04,Solar 06,Solar 08,Solar 09,Solar 10,Solar 11,Solar 12,Solar 14,Solar 15,Solar 16,Solar 17,Solar 18,Solar 20,Solar 21,Solar 22,Solar 24,Solar 25,Solar 26,Solar 28,Solar 29,Solar 30,Solar 31,Solar 32,Solar 33,Solar 34,Solar 35,Solar 36,Solar 37,Solar 38,Solar 39,Solar 40,Solar 41,Solar 42,Solar 43,Solar 44,Solar 45,Solar 46,Solar 47,Solar 48,Solar 50,Solar 51,Solar 52,Solar 53,Solar 54,Solar 55,Solar 56,Solar 57,Solar 58,Solar 59,Solar 60,Solar 61,Solar 62,Solar 63,Solar 64,Solar 65,Solar 66,Solar 67,Solar 68,Solar 69,Solar 70,Solar 71,Solar 72,Solar 73,Solar 74,Solar 75,Wind 01,Wind 02,Wind 03,Wind 04,Wind 06,Wind 07,Wind 08,Wind 09,Wind 10,Wind 11,Wind 12,Wind 13,Wind 14,Wind 15,Wind 16,Wind 17,Wind N01,Wind N02,Wind N03,Wind N04,Wind N05,Wind N06,Wind N07,Wind N08,Wind N09,Wind N10
0,01-01 00:00:00+01:00,0.0,40.0235,12.19617,0.0,0.0,1.22408,1.22408,29.5659,29.5659,29.5659,0.0,1070.7242460053435,276.1184111417543,0.0,0.93725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.827556,328.3843924000001,328.3843924000001,0.0,0.0,0.0,0.0,151.7081717500247,383.6713401,0.0,0.0,0.0,0.0
1,01-01 01:00:00+01:00,0.0,40.0235,12.19617,0.0,0.0,1.22408,1.22408,29.5659,29.5659,29.5659,0.0,1070.7242460053435,276.1184111417543,0.0,0.93725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.827556,328.3843924000001,328.3843924000001,0.0,0.0,0.0,0.0,151.7081717500247,383.6713401,0.0,0.0,0.0,0.0
2,01-01 02:00:00+01:00,0.0,40.0235,12.19617,0.0,0.0,1.22408,1.22408,29.5659,29.5659,29.5659,0.0,1070.7242460053435,276.1184111417543,0.0,0.93725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.827556,328.3843924000001,328.3843924000001,0.0,0.0,0.0,0.0,151.7081717500247,383.6713401,0.0,0.0,0.0,0.0
3,01-01 03:00:00+01:00,16.0,28.787,758.1123,758.1123,705.8405153499999,735.2037,735.2037,26.9958,26.9958,26.9958,272.5150922691401,1104.8994,289.63386324841576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.12828105,5.1494227702926185,0.0,20.12828105,0.0,0.0,0.0,52.94356151,158.3012489,158.3012489,73.20225070840114,0.0,0.0,0.0,129.84072292503646,176.9239916,0.0,0.0,0.0,0.0
4,01-01 04:00:00+01:00,16.0,28.787,758.1123,758.1123,705.8405153499999,735.2037,735.2037,26.9958,26.9958,26.9958,272.5150922691401,1104.8994,289.63386324841576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.12828105,5.1494227702926185,0.0,20.12828105,0.0,0.0,0.0,52.94356151,158.3012489,158.3012489,73.20225070840114,0.0,0.0,0.0,129.84072292503646,176.9239916,0.0,0.0,0.0,0.0
5,01-01 05:00:00+01:00,16.0,28.787,758.1123,758.1123,705.8405153499999,735.2037,735.2037,26.9958,26.9958,26.9958,272.5150922691401,1104.8994,289.63386324841576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.12828105,5.1494227702926185,0.0,20.12828105,0.0,0.0,0.0,52.94356151,158.3012489,158.3012489,73.20225070840114,0.0,0.0,0.0,129.84072292503646,176.9239916,0.0,0.0,0.0,0.0
6,01-01 06:00:00+01:00,16.0,28.787,758.1123,758.1123,705.8405153499999,735.2037,735.2037,26.9958,26.9958,26.9958,272.5150922691401,1104.8994,289.63386324841576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.12828105,5.1494227702926185,0.0,20.12828105,0.0,0.0,0.0,52.94356151,158.3012489,158.3012489,73.20225070840114,0.0,0.0,0.0,129.84072292503646,176.9239916,0.0,0.0,0.0,0.0
7,01-01 07:00:00+01:00,16.0,28.787,758.1123,758.1123,705.8405153499999,735.2037,735.2037,26.9958,26.9958,26.9958,272.5150922691401,1104.8994,289.63386324841576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.12828105,5.1494227702926185,0.0,20.12828105,0.0,0.0,0.0,52.94356151,158.3012489,158.3012489,73.20225070840114,0.0,0.0,0.0,129.84072292503646,176.9239916,0.0,0.0,0.0,0.0
8,01-01 08:00:00+01:00,16.0,28.787,758.1123,758.1123,705.8405153499999,735.2037,735.2037,26.9958,26.9958,26.9958,272.5150922691401,1104.8994,289.63386324841576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.12828105,5.1494227702926185,0.0,20.12828105,0.0,0.0,0.0,52.94356151,158.3012489,158.3012489,73.20225070840114,0.0,0.0,0.0,129.84072292503646,176.9239916,0.0,0.0,0.0,0.0
9,01-01 09:00:00+01:00,16.0,0.0,45.83064,0.0,0.0,0.0,81.94752957301743,0.0,0.0,0.0,0.0,0.0,2.84526,2.84526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.337398712100648,0.0,0.0,0.0,0.0,7.528904025000001,5.855814241,44.5270031,40.0400805,25.09634675,11.44545511,5.886169430000004,38.32896594,70.04162229,34.14624149,5.513591331,7.376804954000001,6.844458204,30.533888540000003,32.815374610000006,17.11114551,413.3336621,413.8197978000001,470.2235922,428.8653645,160.3034973,442.2459639,89.20399583,71.24599881,6.234024896,5.6492835652798,6.234024896,6.234024896,0.0,6.234024896,0.0,0.0,0.0,6.234024896,0.0,55.74999407,37.90287137,57.31740605,0.0,0.0,0.0,0.0,0.0,84.04878689,0.0,13.33140984,70.39349097044723,0.0,0.0,0.0,423.7189802,137.2369167,341.9807943,0.0,557.6140245428204,399.2220372,95.82241486,95.0619195,95.0619195,114.0743034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.8333877000001,586.7819018746443,262.08582768112586,0.0,0.0,0.0
