,Weight
sti1,16
sti10,38
sti100,34
sti101,28
sti102,22
sti103,9
sti104,54
sti105,49
sti106,43
sti107,27
sti108,20
sti109,42
sti11,40
sti110,27
sti111,37
sti112,17
sti113,24
sti114,33
sti115,17
sti116,48
sti117,16
sti118,21
sti119,31
sti12,49
sti120,72
sti121,21
sti122,26
sti123,28
sti124,13
sti125,39
sti126,28
sti127,50
sti128,22
sti129,40
sti13,29
sti130,32
sti131,37
sti132,39
sti133,37
sti134,16
sti135,23
sti136,31
sti137,29
sti138,70
sti139,60
sti14,33
sti140,24
sti141,21
sti142,13
sti143,37
sti144,18
sti145,19
sti146,40
sti147,34
sti148,52
sti149,36
sti15,50
sti150,42
sti151,28
sti152,28
sti153,14
sti154,36
sti155,37
sti156,24
sti157,31
sti158,21
sti159,27
sti16,54
sti160,24
sti161,40
sti162,24
sti163,32
sti164,38
sti165,35
sti166,65
sti167,43
sti168,50
sti169,18
sti17,20
sti170,28
sti171,24
sti172,31
sti173,25
sti174,20
sti175,46
sti176,9
sti177,16
sti178,23
sti179,48
sti18,38
sti180,23
sti181,56
sti182,22
sti183,34
sti184,24
sti185,24
sti186,25
sti187,56
sti188,59
sti189,26
sti19,35
sti190,43
sti191,26
sti192,45
sti193,54
sti194,59
sti195,25
sti196,39
sti197,25
sti198,21
sti199,18
sti2,9
sti20,23
sti200,28
sti201,16
sti202,12
sti203,26
sti204,19
sti205,44
sti206,35
sti207,34
sti208,24
sti209,17
sti21,21
sti210,44
sti211,11
sti212,16
sti213,43
sti214,18
sti215,20
sti216,55
sti217,29
sti218,32
sti219,25
sti22,12
sti220,20
sti221,17
sti222,26
sti223,32
sti224,42
sti225,27
sti226,8
sti227,26
sti228,25
sti229,38
sti23,55
sti230,32
sti231,15
sti232,12
sti233,40
sti234,14
sti235,28
sti236,34
sti237,37
sti238,8
sti239,12
sti24,55
sti240,25
sti241,21
sti242,26
sti243,22
sti244,34
sti245,8
sti246,22
sti247,23
sti248,17
sti249,21
sti25,64
sti250,33
sti251,13
sti252,17
sti26,27
sti27,46
sti28,62
sti29,33
sti3,15
sti30,32
sti31,52
sti32,24
sti33,16
sti34,27
sti35,65
sti36,37
sti37,36
sti38,33
sti39,58
sti4,25
sti40,24
sti41,28
sti42,28
sti43,49
sti44,16
sti45,36
sti46,47
sti47,21
sti48,33
sti49,52
sti5,26
sti50,37
sti51,34
sti52,46
sti53,30
sti54,24
sti55,27
sti56,12
sti57,18
sti58,58
sti59,52
sti6,23
sti60,40
sti61,21
sti62,20
sti63,43
sti64,46
sti65,35
sti66,21
sti67,32
sti68,21
sti69,22
sti7,41
sti70,29
sti71,21
sti72,23
sti73,12
sti74,29
sti75,36
sti76,21
sti77,43
sti78,35
sti79,27
sti8,23
sti80,50
sti81,32
sti82,47
sti83,9
sti84,33
sti85,38
sti86,58
sti87,31
sti88,25
sti89,20
sti9,18
sti90,28
sti91,38
sti92,11
sti93,18
sti94,65
sti95,14
sti96,40
sti97,53
sti98,32
sti99,51
stn1,32
stn10,15
stn11,18
stn12,22
stn13,48
stn14,40
stn15,26
stn16,43
stn17,33
stn18,34
stn19,11
stn2,19
stn20,13
stn21,15
stn22,6
stn23,42
stn24,31
stn25,37
stn3,69
stn4,18
stn5,61
stn6,37
stn7,55
stn8,24
stn9,21
stp1,16
stp2,66
stp3,3
stp4,19
