,,,101_CT_1,101_CT_2,101_STEAM_3,101_STEAM_4,102_CT_1,102_CT_2,102_STEAM_3,102_STEAM_4,107_CC_1,113_CT_1,113_CT_2,113_CT_3,113_CT_4,115_STEAM_1,115_STEAM_2,115_STEAM_3,116_STEAM_1,118_CC_1,123_STEAM_2,123_STEAM_3,123_CT_1,123_CT_4,123_CT_5,114_SYNC_COND_1,121_NUCLEAR_1,122_HYDRO_1,122_HYDRO_2,122_HYDRO_3,122_HYDRO_4,122_HYDRO_5,122_HYDRO_6,113_PV_1,102_PV_1,101_PV_1,102_PV_2,104_PV_1,101_PV_2,101_PV_3,101_PV_4,103_PV_1,119_PV_1,118_RTPV_1,118_RTPV_2,118_RTPV_3,118_RTPV_4,118_RTPV_5,118_RTPV_6,118_RTPV_7,118_RTPV_8,118_RTPV_9,118_RTPV_10,122_WIND_1,109_BATTERY_1,110_BATTERY_1,111_BATTERY_1,112_BATTERY_1,121_BATTERY_1,107_BATTERY_1,113_BATTERY_1,123_BATTERY_1
2030,sc01,01-01 00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6420507724091,20.314276809477278,24.751513579613636,20.076218878386364,23.48435702618182,25.516039094340908,25.03821064709091,24.655947890204548,48.80187592788637,40.65907310525,516.6556775781818,5.973588595181818,5.788838432227273,5.604088269681818,5.604088269681818,5.973588595181818,7.266839734499999,6.897339408431819,6.343088920477272,2.7712524413863635,930.9236321136364,,,,,,,,
2030,sc01,01-01 01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.62984348138636,20.944760566727272,25.66831384672727,20.699314152204547,23.131305674704542,26.46115751875,25.96563022284091,25.569208387590912,50.31651464504546,40.58262609768182,516.5462615343863,5.972323523136364,5.787612486363636,5.602901449840909,5.602901449840909,5.972323523136364,7.265300780477273,6.895878707272726,6.341745597022728,2.7706655524545454,928.850325051818,,,,,,,,
2030,sc01,01-01 11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,57.3244234155,21.2251297795,25.718907959204547,20.976397792022727,23.157509867318183,26.513314383636363,26.01681036756818,25.61960715575,50.99005787154545,40.089193819,513.8087286000455,5.940672084522728,5.756939958,5.573207832340909,5.573207832340909,5.940672084522728,7.226796968772728,6.859332716022727,6.3081363375,2.755981895477273,912.2274018011364,,,,,,,,
2030,sc01,01-02 08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.21428928054545,21.40591241102273,25.36248113588637,21.15506187590909,23.078973186477278,26.145878236431816,25.65625504879545,25.264556496795453,51.42435989340909,41.618776732954544,521.7847503588863,6.032891089931818,5.84630682925,5.659722568977273,5.659722568977273,6.032891089931818,7.338980913681818,6.965812392568182,6.40605961125,2.798763908454545,891.0959938934091,,,,,,,,
2030,sc01,01-02 09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.68450172936364,21.7801428655,25.58195492111364,21.524906815886364,22.330493439022728,26.372131135886363,25.878271001636367,25.483182894522727,52.32339008502272,43.121341586681815,517.0361728384319,5.977987892931818,5.79310166925,5.608215445818182,5.608215445818182,5.977987892931818,7.272191457613636,6.9024190105,6.347760339840909,2.7732933528636363,876.3898207211819,,,,,,,,
2030,sc01,01-02 10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.37504548927273,21.879729455045453,25.90767635170454,21.623326376681817,21.602209201022728,26.707913459545452,26.207765269363637,25.807646715068184,52.56263131304545,44.065330821772726,496.3361168601363,5.738653218477273,5.561169098431818,5.383684978363636,5.383684978363636,5.738653218477273,6.981042060204545,6.626073819181818,6.093621458954545,2.6622618029772727,851.3933433747727,,,,,,,,
2030,sc01,01-02 17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.44808673245454,21.81715529384091,25.64197001661364,21.561485505181818,21.76524063090909,26.43399997870455,25.93898125184091,25.542966271477272,52.41230666368183,45.12105304811364,479.0644520526819,5.538957706863636,5.367649736,5.19634176625,5.19634176625,5.538957706863636,6.738113498590909,6.395497558227273,5.881573647045454,2.569619555454546,825.0678644150681,,,,,,,,
2030,sc01,01-02 23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.14946939722727,21.98533057454545,25.1238164885,21.727689981363635,21.801362314590907,25.89984170777273,25.41482594431818,25.026813335022727,52.816321498840914,46.15897153840909,476.3878931847273,5.508011251909091,5.3376603884545455,5.167309525204545,5.167309525204545,5.508011251909091,6.700467296363636,6.359765569454546,5.848712979249999,2.5552629525,800.9645369247727,,,,,,,,
2030,sc01,01-03 16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.59185582559091,21.906274311818184,25.255535650386363,21.64956016025,21.60466326693182,26.03562941479545,25.548070812272726,25.158023929636364,52.62640118031818,46.78335122629546,498.2794254468636,5.761121811340909,5.582942786318181,5.404763761227273,5.404763761227273,5.761121811340909,7.008374986977273,6.652016936613637,6.117479861477273,2.672685377068182,788.5981945552728,,,,,,,,
2030,sc01,01-03 17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.50657502797728,21.30389688059091,25.397897021477277,21.05424183884091,21.16777494909091,26.18238804809091,25.69208115609091,25.29983564134091,51.17928352293182,46.04500640195455,524.4045581237273,6.063181386863636,5.87566031275,5.688139239295454,5.688139239295454,6.063181386863636,7.375828903022727,7.000786755840909,6.438223534272726,2.8128161077272726,783.2446752673636,,,,,,,,
2030,sc01,01-04 10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.112276983840914,20.639928437840908,24.97360430272727,20.39805427640909,21.670752475340908,25.744989764386364,25.262873852386363,24.877181120681826,49.58420308297728,44.26985021477273,538.7967426711364,6.229584260431818,6.036916705727273,5.844249150954545,5.844249150954545,6.229584260431818,7.578257141022728,7.192922032318182,6.614919368795455,2.8900133170454545,782.3733737356135,,,,,,,,
