,Weight
sti1,174
sti10,1
sti11,571
sti12,1
sti13,3
sti14,4
sti15,2
sti16,2
sti17,7
sti18,12
sti19,281
sti2,6
sti20,192
sti21,3
sti22,6
sti23,368
sti24,1
sti25,7
sti26,279
sti27,6
sti28,6
sti29,242
sti3,280
sti30,1
sti31,10
sti32,1
sti33,1
sti34,327
sti35,373
sti36,1
sti37,2
sti38,299
sti39,13
sti4,10
sti40,7
sti41,4
sti42,1
sti43,3
sti44,6
sti45,8
sti46,3
sti47,319
sti48,3
sti49,1
sti5,9
sti50,5
sti51,536
sti52,363
sti53,5
sti54,3
sti55,1
sti56,299
sti57,2
sti58,321
sti59,1
sti6,397
sti60,318
sti61,173
sti62,287
sti63,1
sti64,5
sti65,11
sti66,111
sti67,2
sti68,503
sti69,9
sti7,1
sti70,1
sti71,2
sti72,328
sti73,147
sti74,244
sti75,3
sti76,5
sti77,1
sti78,238
sti79,231
sti8,313
sti80,8
sti9,5
