,Weight
sti1,109
sti10,25
sti11,378
sti12,362
sti13,134
sti14,229
sti15,15
sti16,44
sti17,457
sti18,6
sti19,811
sti2,459
sti20,27
sti21,164
sti22,7
sti23,203
sti24,22
sti25,56
sti26,298
sti27,2
sti28,10
sti29,400
sti3,3
sti30,172
sti31,105
sti32,17
sti33,11
sti34,460
sti35,4
sti36,433
sti37,407
sti38,24
sti39,2
sti4,419
sti40,29
sti41,19
sti42,625
sti43,26
sti44,72
sti45,71
sti46,22
sti47,21
sti48,2
sti49,7
sti5,3
sti50,36
sti51,49
sti52,18
sti53,16
sti54,41
sti55,65
sti56,6
sti57,1
sti58,338
sti59,105
sti6,113
sti60,9
sti61,57
sti62,150
sti63,11
sti64,184
sti65,11
sti66,112
sti67,17
sti68,42
sti69,14
sti7,26
sti70,36
sti8,30
sti9,77
