,Weight
sti1,89
sti10,251
sti100,20
sti101,20
sti102,21
sti103,68
sti104,160
sti105,5
sti106,27
sti107,5
sti108,11
sti109,92
sti11,8
sti110,126
sti111,5
sti112,10
sti113,267
sti114,5
sti115,26
sti116,177
sti117,45
sti118,72
sti119,42
sti12,80
sti120,5
sti121,38
sti122,1
sti123,20
sti124,3
sti125,247
sti126,61
sti127,9
sti128,7
sti129,1
sti13,10
sti130,100
sti131,60
sti132,30
sti133,4
sti134,74
sti135,102
sti136,27
sti137,37
sti138,37
sti139,3
sti14,6
sti140,48
sti141,11
sti142,6
sti143,8
sti144,1
sti145,8
sti146,1
sti147,4
sti148,20
sti149,22
sti15,92
sti150,11
sti151,33
sti152,13
sti153,118
sti154,13
sti155,11
sti156,5
sti157,6
sti158,3
sti159,15
sti16,56
sti160,136
sti161,15
sti162,5
sti163,66
sti164,4
sti165,76
sti166,12
sti167,16
sti168,19
sti169,20
sti17,4
sti170,8
sti171,227
sti172,7
sti173,63
sti174,15
sti175,4
sti176,3
sti177,6
sti178,56
sti179,24
sti18,59
sti180,4
sti181,112
sti182,1
sti183,25
sti184,7
sti185,6
sti186,26
sti187,6
sti188,8
sti189,73
sti19,13
sti190,25
sti2,137
sti20,229
sti21,3
sti22,4
sti23,26
sti24,3
sti25,163
sti26,7
sti27,2
sti28,10
sti29,206
sti3,1
sti30,145
sti31,8
sti32,1
sti33,20
sti34,27
sti35,34
sti36,17
sti37,108
sti38,31
sti39,40
sti4,6
sti40,137
sti41,67
sti42,149
sti43,23
sti44,3
sti45,7
sti46,66
sti47,8
sti48,3
sti49,2
sti5,87
sti50,65
sti51,4
sti52,25
sti53,157
sti54,11
sti55,9
sti56,14
sti57,16
sti58,5
sti59,73
sti6,9
sti60,123
sti61,22
sti62,3
sti63,1
sti64,1
sti65,40
sti66,26
sti67,277
sti68,3
sti69,3
sti7,143
sti70,38
sti71,16
sti72,129
sti73,20
sti74,319
sti75,15
sti76,25
sti77,85
sti78,5
sti79,50
sti8,42
sti80,152
sti81,11
sti82,68
sti83,6
sti84,175
sti85,4
sti86,10
sti87,3
sti88,15
sti89,220
sti9,35
sti90,14
sti91,26
sti92,24
sti93,98
sti94,9
sti95,11
sti96,21
sti97,11
sti98,78
sti99,21
