,Weight
sti1,50
sti10,13
sti100,21
sti101,134
sti102,15
sti103,12
sti104,51
sti105,19
sti106,21
sti107,38
sti108,20
sti109,17
sti11,25
sti110,41
sti111,11
sti112,2
sti113,25
sti114,10
sti115,49
sti116,37
sti117,32
sti118,42
sti119,36
sti12,27
sti120,14
sti121,4
sti122,69
sti123,48
sti124,122
sti125,19
sti126,9
sti127,25
sti128,40
sti129,125
sti13,31
sti130,10
sti131,15
sti132,8
sti133,57
sti134,11
sti135,33
sti136,31
sti137,32
sti138,133
sti139,17
sti14,30
sti140,47
sti141,36
sti142,13
sti143,80
sti144,12
sti145,38
sti146,22
sti147,15
sti148,34
sti149,145
sti15,45
sti150,51
sti151,98
sti152,22
sti153,36
sti154,51
sti155,17
sti156,10
sti157,35
sti158,13
sti159,35
sti16,116
sti160,56
sti161,127
sti162,15
sti163,15
sti164,14
sti165,18
sti166,9
sti167,119
sti168,11
sti169,45
sti17,25
sti170,45
sti171,22
sti172,54
sti173,32
sti174,36
sti175,18
sti176,34
sti177,37
sti178,44
sti179,45
sti18,42
sti180,11
sti181,10
sti182,37
sti183,38
sti184,8
sti185,9
sti186,22
sti187,143
sti188,20
sti189,105
sti19,11
sti190,86
sti191,59
sti192,46
sti193,39
sti194,9
sti195,43
sti196,56
sti197,51
sti198,96
sti199,10
sti2,56
sti20,78
sti200,29
sti21,118
sti22,48
sti23,12
sti24,18
sti25,128
sti26,40
sti27,121
sti28,13
sti29,36
sti3,8
sti30,36
sti31,18
sti32,43
sti33,22
sti34,15
sti35,39
sti36,2
sti37,66
sti38,15
sti39,47
sti4,25
sti40,41
sti41,18
sti42,14
sti43,169
sti44,21
sti45,68
sti46,40
sti47,17
sti48,29
sti49,15
sti5,151
sti50,146
sti51,5
sti52,125
sti53,99
sti54,42
sti55,145
sti56,39
sti57,6
sti58,9
sti59,8
sti6,24
sti60,136
sti61,96
sti62,32
sti63,19
sti64,14
sti65,28
sti66,18
sti67,46
sti68,33
sti69,7
sti7,19
sti70,32
sti71,51
sti72,22
sti73,30
sti74,18
sti75,33
sti76,16
sti77,34
sti78,11
sti79,16
sti8,90
sti80,11
sti81,53
sti82,46
sti83,99
sti84,1
sti85,35
sti86,36
sti87,48
sti88,136
sti89,44
sti9,103
sti90,6
sti91,144
sti92,41
sti93,28
sti94,61
sti95,142
sti96,103
sti97,29
sti98,22
sti99,109
