,Weight
sti1,12
sti10,10
sti100,7
sti1000,6
sti101,4
sti102,17
sti103,18
sti104,4
sti105,2
sti106,24
sti107,5
sti108,6
sti109,3
sti11,20
sti110,4
sti111,10
sti112,7
sti113,3
sti114,7
sti115,17
sti116,9
sti117,11
sti118,7
sti119,12
sti12,22
sti120,21
sti121,6
sti122,11
sti123,4
sti124,6
sti125,8
sti126,7
sti127,15
sti128,5
sti129,24
sti13,12
sti130,3
sti131,9
sti132,5
sti133,13
sti134,13
sti135,5
sti136,4
sti137,12
sti138,5
sti139,10
sti14,11
sti140,28
sti141,8
sti142,6
sti143,5
sti144,9
sti145,10
sti146,6
sti147,3
sti148,12
sti149,5
sti15,5
sti150,9
sti151,9
sti152,3
sti153,4
sti154,5
sti155,13
sti156,6
sti157,7
sti158,4
sti159,5
sti16,1
sti160,6
sti161,13
sti162,3
sti163,8
sti164,12
sti165,9
sti166,3
sti167,4
sti168,3
sti169,11
sti17,6
sti170,9
sti171,7
sti172,13
sti173,10
sti174,16
sti175,23
sti176,10
sti177,7
sti178,9
sti179,6
sti18,3
sti180,4
sti181,5
sti182,2
sti183,7
sti184,5
sti185,5
sti186,12
sti187,18
sti188,20
sti189,6
sti19,14
sti190,5
sti191,2
sti192,17
sti193,9
sti194,9
sti195,4
sti196,11
sti197,6
sti198,9
sti199,7
sti2,13
sti20,9
sti200,6
sti201,6
sti202,21
sti203,13
sti204,3
sti205,7
sti206,7
sti207,12
sti208,13
sti209,14
sti21,16
sti210,8
sti211,4
sti212,20
sti213,10
sti214,12
sti215,8
sti216,10
sti217,12
sti218,5
sti219,7
sti22,13
sti220,27
sti221,12
sti222,11
sti223,6
sti224,7
sti225,29
sti226,19
sti227,9
sti228,11
sti229,12
sti23,9
sti230,6
sti231,4
sti232,7
sti233,7
sti234,20
sti235,9
sti236,32
sti237,11
sti238,5
sti239,3
sti24,1
sti240,8
sti241,4
sti242,13
sti243,7
sti244,12
sti245,6
sti246,5
sti247,7
sti248,7
sti249,10
sti25,10
sti250,7
sti251,4
sti252,5
sti253,29
sti254,7
sti255,8
sti256,10
sti257,18
sti258,16
sti259,6
sti26,2
sti260,2
sti261,6
sti262,7
sti263,7
sti264,14
sti265,7
sti266,4
sti267,13
sti268,6
sti269,6
sti27,8
sti270,10
sti271,8
sti272,10
sti273,5
sti274,3
sti275,15
sti276,9
sti277,6
sti278,9
sti279,15
sti28,6
sti280,10
sti281,9
sti282,11
sti283,3
sti284,14
sti285,4
sti286,14
sti287,12
sti288,16
sti289,5
sti29,11
sti290,9
sti291,3
sti292,8
sti293,4
sti294,8
sti295,5
sti296,15
sti297,12
sti298,6
sti299,15
sti3,8
sti30,9
sti300,13
sti301,10
sti302,11
sti303,11
sti304,12
sti305,9
sti306,15
sti307,8
sti308,4
sti309,3
sti31,6
sti310,5
sti311,23
sti312,5
sti313,17
sti314,15
sti315,10
sti316,10
sti317,9
sti318,6
sti319,11
sti32,14
sti320,12
sti321,5
sti322,3
sti323,13
sti324,13
sti325,5
sti326,7
sti327,9
sti328,13
sti329,8
sti33,7
sti330,8
sti331,6
sti332,11
sti333,15
sti334,13
sti335,10
sti336,24
sti337,8
sti338,12
sti339,10
sti34,16
sti340,3
sti341,19
sti342,7
sti343,14
sti344,17
sti345,6
sti346,11
sti347,20
sti348,4
sti349,8
sti35,12
sti350,12
sti351,16
sti352,13
sti353,14
sti354,9
sti355,8
sti356,12
sti357,12
sti358,17
sti359,11
sti36,6
sti360,11
sti361,11
sti362,8
sti363,12
sti364,7
sti365,4
sti366,17
sti367,5
sti368,7
sti369,12
sti37,3
sti370,10
sti371,7
sti372,9
sti373,12
sti374,4
sti375,5
sti376,7
sti377,6
sti378,10
sti379,8
sti38,6
sti380,14
sti381,9
sti382,6
sti383,26
sti384,12
sti385,9
sti386,12
sti387,7
sti388,7
sti389,9
sti39,14
sti390,2
sti391,5
sti392,10
sti393,12
sti394,6
sti395,10
sti396,3
sti397,7
sti398,15
sti399,12
sti4,14
sti40,9
sti400,2
sti401,8
sti402,7
sti403,7
sti404,3
sti405,13
sti406,9
sti407,4
sti408,4
sti409,8
sti41,9
sti410,9
sti411,10
sti412,5
sti413,7
sti414,6
sti415,5
sti416,8
sti417,8
sti418,9
sti419,1
sti42,4
sti420,4
sti421,4
sti422,9
sti423,7
sti424,9
sti425,11
sti426,9
sti427,10
sti428,17
sti429,22
sti43,11
sti430,9
sti431,3
sti432,5
sti433,10
sti434,8
sti435,7
sti436,7
sti437,15
sti438,5
sti439,24
sti44,16
sti440,8
sti441,11
sti442,13
sti443,4
sti444,11
sti445,9
sti446,11
sti447,10
sti448,10
sti449,8
sti45,6
sti450,8
sti451,6
sti452,10
sti453,18
sti454,8
sti455,6
sti456,5
sti457,15
sti458,17
sti459,9
sti46,11
sti460,4
sti461,9
sti462,6
sti463,3
sti464,9
sti465,5
sti466,9
sti467,7
sti468,17
sti469,9
sti47,2
sti470,14
sti471,10
sti472,4
sti473,11
sti474,3
sti475,12
sti476,10
sti477,11
sti478,5
sti479,5
sti48,12
sti480,6
sti481,9
sti482,5
sti483,22
sti484,5
sti485,9
sti486,4
sti487,3
sti488,19
sti489,12
sti49,5
sti490,7
sti491,4
sti492,4
sti493,4
sti494,13
sti495,6
sti496,3
sti497,5
sti498,16
sti499,6
sti5,7
sti50,7
sti500,12
sti501,8
sti502,7
sti503,6
sti504,5
sti505,10
sti506,5
sti507,5
sti508,12
sti509,14
sti51,12
sti510,4
sti511,5
sti512,2
sti513,2
sti514,22
sti515,4
sti516,6
sti517,17
sti518,8
sti519,13
sti52,15
sti520,17
sti521,4
sti522,13
sti523,6
sti524,7
sti525,10
sti526,4
sti527,5
sti528,3
sti529,8
sti53,11
sti530,6
sti531,4
sti532,5
sti533,26
sti534,5
sti535,6
sti536,12
sti537,13
sti538,9
sti539,5
sti54,5
sti540,8
sti541,10
sti542,6
sti543,5
sti544,15
sti545,3
sti546,4
sti547,13
sti548,22
sti549,19
sti55,2
sti550,6
sti551,5
sti552,14
sti553,5
sti554,6
sti555,11
sti556,12
sti557,7
sti558,7
sti559,11
sti56,10
sti560,5
sti561,8
sti562,25
sti563,24
sti564,16
sti565,11
sti566,11
sti567,9
sti568,8
sti569,20
sti57,5
sti570,4
sti571,9
sti572,11
sti573,8
sti574,4
sti575,7
sti576,7
sti577,9
sti578,8
sti579,6
sti58,16
sti580,14
sti581,6
sti582,7
sti583,7
sti584,25
sti585,7
sti586,3
sti587,9
sti588,5
sti589,14
sti59,12
sti590,7
sti591,2
sti592,11
sti593,14
sti594,9
sti595,10
sti596,9
sti597,7
sti598,7
sti599,2
sti6,9
sti60,5
sti600,17
sti601,7
sti602,7
sti603,8
sti604,14
sti605,4
sti606,6
sti607,6
sti608,7
sti609,13
sti61,6
sti610,5
sti611,6
sti612,14
sti613,6
sti614,19
sti615,5
sti616,8
sti617,6
sti618,3
sti619,5
sti62,8
sti620,5
sti621,10
sti622,12
sti623,11
sti624,9
sti625,5
sti626,16
sti627,6
sti628,10
sti629,3
sti63,6
sti630,8
sti631,5
sti632,7
sti633,11
sti634,21
sti635,27
sti636,6
sti637,9
sti638,2
sti639,7
sti64,10
sti640,8
sti641,11
sti642,5
sti643,9
sti644,9
sti645,13
sti646,11
sti647,13
sti648,9
sti649,7
sti65,5
sti650,10
sti651,7
sti652,11
sti653,6
sti654,8
sti655,15
sti656,4
sti657,12
sti658,13
sti659,5
sti66,9
sti660,11
sti661,4
sti662,6
sti663,5
sti664,11
sti665,12
sti666,7
sti667,3
sti668,9
sti669,11
sti67,11
sti670,6
sti671,2
sti672,18
sti673,10
sti674,3
sti675,5
sti676,6
sti677,8
sti678,9
sti679,8
sti68,8
sti680,3
sti681,12
sti682,12
sti683,13
sti684,7
sti685,4
sti686,7
sti687,15
sti688,6
sti689,17
sti69,16
sti690,8
sti691,4
sti692,3
sti693,4
sti694,7
sti695,6
sti696,10
sti697,8
sti698,15
sti699,6
sti7,7
sti70,3
sti700,3
sti701,9
sti702,4
sti703,6
sti704,3
sti705,5
sti706,3
sti707,27
sti708,6
sti709,3
sti71,22
sti710,6
sti711,4
sti712,4
sti713,5
sti714,8
sti715,15
sti716,7
sti717,4
sti718,4
sti719,18
sti72,6
sti720,3
sti721,11
sti722,7
sti723,11
sti724,5
sti725,6
sti726,3
sti727,11
sti728,6
sti729,11
sti73,17
sti730,13
sti731,4
sti732,11
sti733,5
sti734,7
sti735,10
sti736,8
sti737,18
sti738,8
sti739,7
sti74,8
sti740,4
sti741,6
sti742,4
sti743,21
sti744,4
sti745,8
sti746,8
sti747,6
sti748,15
sti749,12
sti75,12
sti750,5
sti751,8
sti752,4
sti753,5
sti754,22
sti755,8
sti756,12
sti757,7
sti758,8
sti759,13
sti76,3
sti760,6
sti761,7
sti762,12
sti763,9
sti764,5
sti765,2
sti766,12
sti767,10
sti768,12
sti769,16
sti77,10
sti770,7
sti771,11
sti772,10
sti773,5
sti774,8
sti775,9
sti776,2
sti777,3
sti778,3
sti779,10
sti78,7
sti780,4
sti781,9
sti782,11
sti783,6
sti784,15
sti785,15
sti786,11
sti787,2
sti788,5
sti789,10
sti79,5
sti790,2
sti791,15
sti792,3
sti793,14
sti794,6
sti795,5
sti796,6
sti797,8
sti798,5
sti799,6
sti8,7
sti80,8
sti800,10
sti801,9
sti802,11
sti803,10
sti804,6
sti805,6
sti806,14
sti807,5
sti808,10
sti809,11
sti81,16
sti810,15
sti811,11
sti812,7
sti813,12
sti814,5
sti815,9
sti816,13
sti817,14
sti818,12
sti819,11
sti82,6
sti820,6
sti821,10
sti822,4
sti823,9
sti824,14
sti825,6
sti826,7
sti827,8
sti828,9
sti829,15
sti83,2
sti830,9
sti831,10
sti832,9
sti833,5
sti834,8
sti835,14
sti836,5
sti837,5
sti838,11
sti839,17
sti84,14
sti840,10
sti841,8
sti842,7
sti843,3
sti844,11
sti845,9
sti846,6
sti847,5
sti848,3
sti849,5
sti85,12
sti850,6
sti851,6
sti852,12
sti853,6
sti854,11
sti855,10
sti856,3
sti857,8
sti858,5
sti859,14
sti86,11
sti860,2
sti861,5
sti862,11
sti863,11
sti864,23
sti865,8
sti866,3
sti867,4
sti868,8
sti869,3
sti87,6
sti870,8
sti871,8
sti872,4
sti873,10
sti874,16
sti875,2
sti876,10
sti877,7
sti878,7
sti879,5
sti88,11
sti880,3
sti881,6
sti882,4
sti883,9
sti884,7
sti885,6
sti886,4
sti887,9
sti888,6
sti889,3
sti89,12
sti890,5
sti891,3
sti892,3
sti893,11
sti894,4
sti895,12
sti896,4
sti897,8
sti898,15
sti899,6
sti9,9
sti90,18
sti900,9
sti901,10
sti902,8
sti903,9
sti904,7
sti905,11
sti906,6
sti907,12
sti908,2
sti909,16
sti91,10
sti910,9
sti911,6
sti912,11
sti913,5
sti914,3
sti915,11
sti916,5
sti917,11
sti918,7
sti919,3
sti92,6
sti920,5
sti921,6
sti922,13
sti923,8
sti924,8
sti925,4
sti926,3
sti927,7
sti928,11
sti929,5
sti93,11
sti930,13
sti931,2
sti932,3
sti933,6
sti934,3
sti935,4
sti936,7
sti937,2
sti938,4
sti939,3
sti94,15
sti940,5
sti941,8
sti942,5
sti943,15
sti944,2
sti945,5
sti946,6
sti947,9
sti948,7
sti949,4
sti95,6
sti950,15
sti951,4
