
Gurobi 9.5.0 (linux64) logging started Thu Sep 14 14:09:01 2023

Set parameter LogFile to value "/vsc-hard-mounts/leuven-data/348/vsc34888/JointResearch/05.Models/06.Benchmarking/A.The_full_year_MILP/9n/openStarNet_9n.log"
Set parameter Method to value 2
Set parameter MIPFocus to value 1
Set parameter Presolve to value 2
Set parameter RINS to value 100
Set parameter MIPGap to value 0.01
Set parameter Threads to value 36
Set parameter TimeLimit to value 76000
Set parameter IterationLimit to value 76000000
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 36 physical cores, 36 logical processors, using up to 36 threads
Optimize a model with 8194371 rows, 2739079 columns and 27484094 nonzeros
Model fingerprint: 0xf08d6fa9
Variable types: 2739043 continuous, 36 integer (36 binary)
Coefficient statistics:
  Matrix range     [4e-04, 2e+02]
  Objective range  [1e+00, 1e+00]
  Bounds range     [4e-04, 1e+00]
  RHS range        [4e-04, 1e+00]
Presolve removed 620268 rows and 244630 columns (presolve time = 5s) ...
Presolve removed 1458924 rows and 244630 columns (presolve time = 10s) ...
Presolve removed 1458924 rows and 323245 columns (presolve time = 15s) ...
Presolve removed 1878252 rows and 323245 columns (presolve time = 20s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 25s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 30s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 35s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 40s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 46s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 51s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 55s) ...
Presolve removed 2026755 rows and 471748 columns (presolve time = 60s) ...
Presolve removed 2026755 rows and 480484 columns (presolve time = 65s) ...
Presolve removed 2026755 rows and 480484 columns (presolve time = 70s) ...
Presolve removed 2026755 rows and 480484 columns (presolve time = 75s) ...
Presolve removed 2026755 rows and 480484 columns (presolve time = 85s) ...
Presolve removed 2026755 rows and 480484 columns (presolve time = 85s) ...
Presolve removed 2026755 rows and 480484 columns (presolve time = 91s) ...
Presolve removed 2026755 rows and 480484 columns
Presolve time: 93.22s
Presolved: 6167616 rows, 2258595 columns, 22263999 nonzeros
Variable types: 2258559 continuous, 36 integer (36 binary)
Root relaxation presolve removed 0 rows and 0 columns (presolve time = 5s) ...
Root relaxation presolve removed 0 rows and 0 columns (presolve time = 10s) ...
Root relaxation presolve removed 0 rows and 0 columns (presolve time = 15s) ...
Root relaxation presolve removed 0 rows and 0 columns (presolve time = 22s) ...
Root relaxation presolved: 6167616 rows, 2258595 columns, 22263999 nonzeros

Root barrier log...

Ordering time: 3.13s

Barrier statistics:
 Dense cols : 36
 AA' NZ     : 1.214e+08
 Factor NZ  : 2.288e+08 (roughly 5.0 GB of memory)
 Factor Ops : 1.550e+10 (less than 1 second per iteration)
 Threads    : 35

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   4.94937748e+05 -8.67505436e+07  1.19e+01 1.23e+00  2.84e+01   172s
   1   1.53200719e+05 -2.97688968e+07  1.52e+00 3.05e+00  4.61e+00   175s
   2   8.29885431e+04 -5.81643205e+06  7.16e-02 2.83e-08  6.16e-01   178s
   3   2.04665929e+04 -1.25463432e+06  9.20e-03 5.47e-09  1.28e-01   182s
   4   7.56469401e+03 -7.16878444e+04  1.47e-03 4.42e-10  7.89e-03   186s
   5   2.84059266e+03 -2.10236227e+04  1.89e-04 1.06e-10  2.37e-03   188s
   6   2.22385158e+03 -9.52068196e+03  1.15e-04 5.62e-11  1.17e-03   191s
   7   1.57731639e+03 -1.82022574e+03  5.93e-05 9.89e-12  3.36e-04   194s
   8   8.45514653e+02 -7.60506212e+01  1.72e-05 3.38e-12  9.11e-05   197s
   9   5.81493060e+02  2.99571540e+02  5.62e-06 3.48e-12  2.78e-05   201s
  10   5.67580319e+02  3.47874545e+02  5.14e-06 2.60e-12  2.17e-05   204s
  11   5.04829698e+02  3.62320955e+02  2.97e-06 2.79e-12  1.41e-05   207s
  12   4.92947305e+02  3.72615187e+02  2.55e-06 2.41e-12  1.19e-05   209s
  13   4.77613906e+02  3.77512700e+02  2.00e-06 1.65e-12  9.88e-06   212s
  14   4.63161261e+02  3.82627253e+02  1.49e-06 2.02e-12  7.95e-06   215s
  15   4.53336064e+02  3.90631721e+02  1.14e-06 1.61e-12  6.19e-06   219s
  16   4.47511623e+02  3.95000126e+02  9.19e-07 1.28e-12  5.18e-06   224s
  17   4.43896259e+02  3.98207813e+02  7.79e-07 7.39e-13  4.51e-06   229s
  18   4.41460331e+02  4.00421573e+02  6.89e-07 2.50e-12  4.05e-06   234s
  19   4.38747359e+02  4.03900871e+02  5.90e-07 1.51e-12  3.44e-06   239s
  20   4.35873957e+02  4.06293322e+02  4.83e-07 2.44e-12  2.92e-06   243s
  21   4.33596066e+02  4.08171456e+02  3.91e-07 1.00e-12  2.51e-06   248s
  22   4.32222817e+02  4.10073507e+02  3.32e-07 2.50e-12  2.19e-06   252s
  23   4.31715244e+02  4.10868440e+02  3.11e-07 1.04e-12  2.06e-06   258s
  24   4.30469974e+02  4.12191049e+02  2.61e-07 1.31e-12  1.80e-06   263s
  25   4.29696203e+02  4.13200392e+02  2.28e-07 1.35e-12  1.63e-06   268s
  26   4.29200548e+02  4.13809475e+02  2.09e-07 2.56e-12  1.52e-06   273s
  27   4.28960267e+02  4.14308406e+02  1.98e-07 1.40e-12  1.45e-06   277s
  28   4.28189159e+02  4.15430044e+02  1.67e-07 1.19e-12  1.26e-06   282s
  29   4.27698555e+02  4.15860922e+02  1.47e-07 1.35e-12  1.17e-06   287s
  30   4.27167934e+02  4.16732682e+02  1.25e-07 1.51e-12  1.03e-06   292s
  31   4.26937935e+02  4.16963324e+02  1.15e-07 1.34e-12  9.84e-07   295s
  32   4.26745055e+02  4.17255155e+02  1.06e-07 1.24e-12  9.37e-07   298s
  33   4.26304717e+02  4.18451222e+02  8.83e-08 1.49e-12  7.75e-07   303s
  34   4.26133090e+02  4.18978917e+02  8.11e-08 1.63e-12  7.06e-07   308s
  35   4.25891712e+02  4.19392237e+02  7.15e-08 1.26e-12  6.41e-07   313s
  36   4.25655828e+02  4.19899618e+02  6.23e-08 3.81e-12  5.68e-07   318s
  37   4.25547121e+02  4.20050658e+02  5.78e-08 2.27e-12  5.42e-07   322s
  38   4.25325331e+02  4.20525317e+02  4.87e-08 2.05e-12  4.74e-07   326s
  39   4.25213253e+02  4.20769975e+02  4.40e-08 1.32e-12  4.39e-07   331s
  40   4.25147205e+02  4.20955131e+02  4.12e-08 1.30e-12  4.14e-07   335s
  41   4.25017639e+02  4.21477805e+02  3.58e-08 1.44e-12  3.49e-07   340s
  42   4.24971653e+02  4.21557236e+02  3.40e-08 1.37e-12  3.37e-07   344s
  43   4.24878613e+02  4.21980440e+02  3.02e-08 1.59e-12  2.86e-07   349s
  44   4.24782569e+02  4.22152556e+02  2.63e-08 1.78e-12  2.60e-07   353s
  45   4.24762810e+02  4.22191531e+02  2.55e-08 1.20e-12  2.54e-07   356s
  46   4.24686194e+02  4.22338488e+02  2.25e-08 4.25e-12  2.32e-07   361s
  47   4.24608577e+02  4.22419343e+02  1.95e-08 1.75e-12  2.16e-07   364s
  48   4.24534379e+02  4.22662498e+02  1.84e-08 3.88e-12  1.85e-07   369s
  49   4.24495900e+02  4.22730051e+02  1.92e-08 7.32e-12  1.74e-07   372s
  50   4.24417895e+02  4.22821283e+02  2.06e-08 5.64e-12  1.58e-07   377s
  51   4.24347300e+02  4.22977218e+02  1.90e-08 4.14e-12  1.35e-07   382s
  52   4.24325160e+02  4.23044648e+02  3.66e-08 9.84e-13  1.26e-07   386s
  53   4.24282301e+02  4.23203759e+02  4.69e-08 6.38e-12  1.06e-07   391s
  54   4.24257879e+02  4.23255325e+02  7.34e-08 7.06e-12  9.90e-08   396s
  55   4.24243964e+02  4.23348329e+02  1.59e-07 1.09e-11  8.84e-08   401s
  56   4.24224518e+02  4.23430013e+02  1.85e-07 4.16e-12  7.84e-08   406s
  57   4.24203518e+02  4.23473872e+02  2.01e-07 6.64e-12  7.20e-08   411s
  58   4.24184357e+02  4.23533428e+02  2.40e-07 6.51e-12  6.43e-08   417s
  59   4.24172773e+02  4.23571192e+02  2.66e-07 3.95e-12  5.94e-08   421s
  60   4.24159080e+02  4.23644408e+02  2.89e-07 1.62e-12  5.08e-08   427s
  61   4.24147840e+02  4.23742611e+02  3.06e-07 2.42e-12  4.00e-08   433s
  62   4.24141236e+02  4.23795064e+02  3.10e-07 1.04e-12  3.42e-08   439s
  63   4.24132420e+02  4.23830374e+02  2.99e-07 1.78e-12  2.98e-08   443s
  64   4.24124292e+02  4.23879867e+02  2.87e-07 2.01e-11  2.41e-08   449s
  65   4.24115898e+02  4.23891824e+02  2.52e-07 1.85e-11  2.21e-08   455s
