,Weight
sti1,332
sti10,44
sti100,48
sti11,348
sti12,21
sti13,36
sti14,242
sti15,9
sti16,16
sti17,38
sti18,28
sti19,29
sti2,321
sti20,44
sti21,255
sti22,7
sti23,30
sti24,8
sti25,40
sti26,251
sti27,21
sti28,17
sti29,23
sti3,14
sti30,39
sti31,277
sti32,26
sti33,313
sti34,49
sti35,43
sti36,317
sti37,322
sti38,24
sti39,8
sti4,12
sti40,39
sti41,36
sti42,38
sti43,258
sti44,221
sti45,276
sti46,33
sti47,43
sti48,30
sti49,18
sti5,38
sti50,30
sti51,65
sti52,27
sti53,16
sti54,24
sti55,45
sti56,35
sti57,37
sti58,20
sti59,10
sti6,199
sti60,33
sti61,17
sti62,272
sti63,257
sti64,39
sti65,28
sti66,10
sti67,324
sti68,248
sti69,46
sti7,24
sti70,294
sti71,26
sti72,331
sti73,33
sti74,54
sti75,38
sti76,31
sti77,10
sti78,28
sti79,38
sti8,12
sti80,15
sti81,27
sti82,22
sti83,19
sti84,36
sti85,19
sti86,224
sti87,48
sti88,276
sti89,26
sti9,215
sti90,35
sti91,42
sti92,30
sti93,16
sti94,25
sti95,40
sti96,21
sti97,2
sti98,200
sti99,15
