,Weight
sti1,182
sti10,4
sti100,1
sti101,162
sti102,26
sti103,15
sti104,19
sti105,9
sti106,145
sti107,201
sti108,13
sti109,19
sti11,20
sti110,27
sti111,17
sti112,26
sti113,18
sti114,191
sti115,11
sti116,18
sti117,25
sti118,21
sti119,112
sti12,209
sti120,21
sti121,20
sti122,106
sti123,216
sti124,30
sti125,8
sti126,118
sti127,40
sti128,18
sti129,2
sti13,143
sti130,124
sti131,22
sti132,18
sti133,13
sti134,21
sti135,60
sti136,24
sti137,16
sti138,29
sti139,9
sti14,28
sti140,192
sti141,15
sti142,11
sti143,83
sti144,32
sti145,15
sti146,12
sti147,184
sti148,22
sti149,20
sti15,7
sti150,14
sti16,20
sti17,44
sti18,183
sti19,15
sti2,152
sti20,22
sti21,16
sti22,25
sti23,28
sti24,17
sti25,162
sti26,213
sti27,239
sti28,31
sti29,9
sti3,12
sti30,8
sti31,26
sti32,28
sti33,164
sti34,17
sti35,39
sti36,28
sti37,7
sti38,39
sti39,22
sti4,11
sti40,196
sti41,140
sti42,13
sti43,9
sti44,15
sti45,25
sti46,190
sti47,22
sti48,27
sti49,31
sti5,22
sti50,14
sti51,40
sti52,31
sti53,18
sti54,36
sti55,33
sti56,231
sti57,166
sti58,205
sti59,145
sti6,87
sti60,161
sti61,11
sti62,20
sti63,14
sti64,9
sti65,18
sti66,15
sti67,3
sti68,16
sti69,208
sti7,191
sti70,14
sti71,14
sti72,26
sti73,18
sti74,7
sti75,226
sti76,28
sti77,14
sti78,102
sti79,32
sti8,17
sti80,9
sti81,16
sti82,12
sti83,190
sti84,21
sti85,11
sti86,44
sti87,220
sti88,189
sti89,35
sti9,6
sti90,28
sti91,15
sti92,21
sti93,17
sti94,12
sti95,22
sti96,20
sti97,26
sti98,190
sti99,11
